 CPUAvg,buy,main, ItemDaoImpl:233,ItemDaoImpl:246
136.23,4357,729,17743,82797
122.3,4467,776,18342,85609
126.83,4649,760,18706,87286
125.1,4517,756,19804,92401
117.77,4353,683,17066,79632
120.4,4394,747,17953,83803
116.6,4358,715,16320,76150
118.33,4376,744,16854,78649
130.67,4911,823,20565,95976
116.5,4273,716,17277,80614
125.17,4620,757,18523,86473
117.87,4338,726,17543,81858
122.7,4556,720,17231,80410
124.7,4601,743,18232,85074
115.73,4139,689,17610,82172
123.97,4651,720,17817,83159
117.37,4233,689,17599,82105
116.3,4235,661,17255,80496
120.8,4410,711,18036,84218
120.43,4455,781,17209,80324
115.6,4301,696,17052,79576
112.03,4128,664,16547,77190
122.97,4452,781,18641,87016
112.87,4161,681,16232,75754
120.67,4591,740,18305,85395
120.57,4370,707,18321,85494
123.7,4475,719,18573,86694
121.33,4353,758,18785,87656
115.07,4310,717,15884,74145
120.03,4410,788,16752,78152
118.63,4409,758,16773,78289
120.17,4377,732,17501,81614
122.3,4511,694,17760,82928
121.93,4447,726,17860,83312
115.3,4239,696,16883,78836
121.13,4524,769,17313,80789
116.87,4086,659,16997,79287
117.33,4278,747,17609,82217
111.1,4256,699,16245,75801
126.4,4593,742,18503,86330
120.1,4452,750,16816,78501
116.3,4266,735,16821,78476
126.1,4557,807,18728,87415
117.53,4320,700,17437,81360
124.33,4535,761,17603,82160
120,4361,726,17588,82063
110.5,4057,716,15888,74147
118.53,4345,783,16929,79008
114.47,4186,719,16694,77915
121.5,4535,732,16420,76600
117.63,4322,735,16562,77285
118.07,4310,699,16700,77955
129.13,4843,810,18876,88088
121.37,4432,770,17038,79520
123.9,4492,724,18621,86888
120.9,4447,822,17153,80025
120.67,4426,691,17566,82007
124.43,4485,765,18095,84401
120.07,4429,694,17236,80452
112.03,4131,684,15933,74379
120.33,4341,756,18080,84368
121.27,4463,757,17189,80216
127.37,4609,741,18940,88374
119.5,4387,733,17389,81128
125.97,4676,767,18285,85344
116.6,4144,738,16794,78330
125,4637,773,19623,91640
113.93,4215,692,15782,73596
118.9,4254,692,18015,84085
122.37,4400,737,18485,86291
114.13,4200,681,16143,75340
117.27,4321,725,16297,76032
118.1,4350,762,16671,77796
123.33,4452,779,17971,83892
123.63,4552,819,17872,83393
120.83,4377,757,18326,85490
122.37,4441,734,17232,80453
117.47,4306,692,16897,78816
126.97,4537,776,18781,87664
120.57,4567,748,18500,86340
115.6,4194,652,17362,81003
121.23,4467,720,17563,81986
117.97,4261,732,17052,79554
119.93,4359,715,17284,80685
128.07,4742,769,18167,84784
118.93,4262,678,17688,82478
125.63,4582,773,18852,88042
117.9,4285,680,17990,83931
118.07,4201,746,17662,82445
121.43,4536,747,16924,78953
114.17,4192,661,16708,77926
115.1,4224,684,17884,83529
118.17,4473,715,16012,74718
117.93,4236,733,18020,84098
122.67,4453,711,17888,83459
120.2,4275,711,16545,77181
118.03,4310,691,17716,82701
120.67,4436,679,17376,81072
118.87,4362,747,17679,82539
120.37,4409,718,17267,80530
119.63,4394,746,17860,83348
119.97,4289,731,17610,82157
117.97,4437,786,18022,84153
118,4296,683,17381,81132
118.33,4289,736,17105,79765
127.87,4687,771,18703,87339
118.53,4266,723,17928,83606
125.67,4569,746,18504,86410
118.73,4406,706,16776,78288
125.53,4627,735,18288,85329
120,4384,741,17592,82083
115.7,4345,777,15792,73724
114.53,4275,756,16560,77280
118.37,4302,708,17538,81777
119.17,4449,741,18522,86503
115.77,4321,710,16473,76864
120.13,4447,699,17379,81112
120.47,4406,712,18418,85942
115.43,4251,729,16179,75484
124.37,4512,774,19013,88729
115.67,4180,685,17824,83191
119.3,4305,766,17796,83032
115.67,4302,688,16810,78444
111.7,4268,674,15985,74619
121.27,4349,758,17186,80180
113.23,4290,730,15781,73675
118.47,4504,787,17401,81183
122.9,4487,745,18016,84054
117.67,4262,733,17515,81779
121.93,4411,700,18709,87291
123.6,4563,750,17608,82184
115.97,4240,758,16814,78437
120.53,4297,749,19072,89020
116.87,4251,722,17311,80796
124.37,4513,778,18012,84043
118.67,4378,687,17081,79716
112.8,4158,718,16578,77367
123.5,4642,810,18331,85522
116,4176,705,17704,82646
119.67,4456,746,16847,78611
124.4,4600,773,17537,81839
113.23,4122,706,16971,79198
120.33,4366,731,17609,82169
114.7,4185,735,17192,80249
113.93,4200,703,16461,76809
120.4,4441,728,17199,80271
117.4,4273,736,17619,82217
122.7,4385,804,18362,85659
120.43,4458,722,17623,82276
112.4,4311,717,16644,77672
126.8,4545,758,18868,88046
119.57,4379,696,17787,82990
122.07,4449,741,17988,83934
118.93,4373,719,17742,82808
116.73,4305,764,16164,75423
120.4,4393,711,17681,82535
113,4195,698,16147,75352
119.17,4358,799,17496,81632
116.33,4252,712,16781,78260
120.2,4394,751,17255,80566
119.47,4402,746,16797,78402
119.33,4563,769,17905,83548
118.5,4381,703,16879,78771
118.63,4387,733,16418,76637
121.6,4379,715,18588,86744
122.67,4483,766,17592,82096
109.23,3923,638,16032,74756
119.37,4301,698,17319,80850
117.4,4322,706,17169,80154
120.33,4334,675,17520,81760
123.37,4465,765,17358,80981
122.13,4431,767,17890,83493
116.77,4322,722,17922,83634
120.9,4354,723,17522,81788
116.87,4305,751,16239,75777
119.97,4334,747,16871,78689
113.27,4130,704,16278,75967
116.67,4227,678,17690,82587
122.9,4478,734,16986,79252
116.63,4237,704,16960,79168
122.7,4459,788,16733,78088
123.2,4458,749,17711,82656
116.17,4317,750,16157,75363
126,4539,723,18094,84440
118.03,4373,761,18057,84301
115.73,4257,700,16354,76286
120.83,4358,726,17609,82193
117.57,4223,667,17541,81873
123.3,4468,762,17586,82050
120.17,4297,677,17551,81907
117.17,4303,699,17009,79373
117.33,4290,712,16628,77590
119.6,4330,719,17183,80184
120.1,4295,725,17772,82927
122.77,4479,733,17543,81905
113,4064,708,15981,74569
121.83,4600,736,18399,85857
119.23,4240,734,17664,82446
120.33,4327,672,18091,84407
116.33,4227,744,16817,78497
119.53,4296,722,17507,81655
123.6,4506,775,18013,84096
116.93,4260,707,17093,79755
114.5,4101,744,17023,79462
118.6,4318,693,17040,79520
119.67,4312,694,17663,82404
119.1,4262,707,17374,81093
117.67,4420,695,18519,86422
119.97,4274,692,18260,85217
120.87,4450,775,16780,78312
109.93,4034,682,15932,74326
118.87,4314,722,17555,81939
124.13,4459,750,18491,86237
117.3,4310,748,16566,77370
117.13,4324,687,16704,77952
119.73,4155,696,17407,81184
121.2,4338,731,18724,87409
113.23,4140,721,16440,76720
120.8,4347,752,17298,80738
121.6,4604,760,18763,87543
110.13,4061,668,15521,72449
125.07,4533,809,18611,86851
113.07,4109,677,16299,76057
118.87,4331,769,17165,80113
121.3,4411,738,17640,82320
113.5,4268,673,16054,74908
125.33,4211,730,16868,78710
122.1,4550,733,16428,76657
113.87,4193,746,15862,74028
113.3,4369,751,16600,77457
116.07,4253,711,17260,80576
117.63,4350,738,16584,77392
122.4,4491,759,18119,84527
114.07,4126,692,17687,82554
116.53,4352,713,16775,78288
126,4529,813,19347,90295
113,4146,749,16008,74704
121.13,4433,774,17767,82904
118.53,4324,719,18048,84225
113.2,4136,730,16962,79144
121.93,4459,750,17432,81360
112.03,4204,724,17367,81055
117.2,4267,713,17931,83669
124.9,4589,785,17856,83328
120.57,4365,727,18046,84212
123.8,4455,767,19007,88711
120.4,4457,732,16992,79296
116.57,4283,709,16823,78457
120.07,4305,693,19177,89543
115.5,4197,727,17337,80876
115.33,4339,701,16277,75974
118.03,4307,703,17965,83847
118.7,4454,750,18239,85089
121.23,4468,720,17506,81726
118.07,4324,746,16800,78400
122.67,4469,747,18420,85960
118.67,4371,716,17287,80663
115.3,4181,713,17091,79748
115.97,4270,742,16862,78700
120.8,4439,778,17517,81741
118.43,4348,689,17835,83234
107.43,3868,628,16064,74946
118.57,4344,713,17661,82422
115.7,4284,730,17148,80045
114.4,4326,689,17250,80495
118.5,4269,681,18157,84742
117.9,4361,680,17261,80538
121.77,4370,673,18335,85522
119.5,4412,737,17924,83700
114.33,4191,687,16275,75906
116.83,4357,746,16470,76895
115.2,4129,709,17563,81965
114.57,4296,740,15969,74522
120.2,4368,707,17655,82390
114.33,4164,668,17468,81522
119.2,4520,753,17328,80864
119.07,4377,716,17245,80449
115.97,4295,726,16835,78579
108.5,3919,708,15960,74492
120.97,4580,756,16922,78965
117,4448,751,16078,75035
113.5,4190,700,16144,75334
113.03,4130,721,16960,79146
111.2,4180,674,15988,74616
119.37,4338,765,17785,82972
115.53,4142,708,17543,81892
117.8,4453,756,18076,84336
115.4,4288,735,16483,76924
114.17,4105,673,17749,82844
119.8,4320,734,17988,83944
121.33,4493,761,17655,82385
113.4,4177,708,16188,75544
119.1,4410,715,16750,78133
115.83,4278,713,17048,79578
115.37,4242,703,16454,76794
116.4,4322,764,16326,76193
119.17,4345,724,17453,81441
123.93,4508,749,18409,85897
121.27,4514,804,18518,86435
113.97,4227,675,16499,76983
125.37,4515,752,19272,89953
115.6,4208,643,17037,79482
121.2,4425,755,17655,82395
114.73,4278,689,16488,76963
119.37,4299,664,18019,84081
