 CPUAvg,search,main, Customer:198,AddressDaoImpl:53,Address:195,AService:538,CustomerDaoImpl:65,AService:530,AService:515,Customer:234,Customer:223,AService:522,Customer:139,ShoppingCartDapImpl:44,AController:42,Customer:96,Customer:245,AController:89,Customer:113,Address:135,Address:77,DaoImpl:42,Address:96,Address:165,AController:101,AController:109,AController:108,Customer:126,AService:545,Customer:102,BuyController:55,BuyController:198,Customer:185,AService:508,Address:123,Address:149,ShoppingCart:64,Customer:210,Customer:273,Address:109,Customer:256,AController:54,Customer:160,Customer:148,Customer:88,Address:68,Address:83,CountryDaoImpl:56,AController:134,Customer:290,Customer:173,AController:96,Customer:278
140.77,4507,783,13605,9081,45500,9050,4526,4525,4526,13605,13605,4526,18130,18168,24899,40923,13605,29375,13605,22718,40975,71659,22719,22718,29375,24864,24864,18130,9042,9079,4526,13578,13605,4526,22718,22718,108783,13605,13605,22718,13605,123491,13606,13606,9080,13636,13649,13635,74592,13605,13605,29375,13605
130.47,4639,789,14063,9358,46746,9408,4703,4704,4703,14063,14063,4703,18767,18713,25722,42069,14063,30433,14063,23372,42042,73511,23373,23372,30433,25730,25730,18767,9403,9359,4703,14109,14063,4703,23372,23372,112232,14063,14063,23372,14063,127949,14062,14062,9358,14013,14014,14013,77190,14063,14063,30433,14063
134.4,4739,753,13581,9048,45214,9068,4535,4534,4535,13581,13581,4535,18115,18078,25134,40863,13581,29705,13581,22608,40680,73119,22607,22608,29705,25163,25163,18115,9052,9047,4535,13605,13581,4535,22608,22608,108707,13581,13581,22608,13581,125039,13582,13582,9048,13561,13560,13561,75489,13581,13581,29705,13581
129.93,4307,795,13506,9022,45166,8968,4484,4485,4484,13506,13506,4484,17990,18099,24628,40512,13506,29033,13506,22583,40681,70801,22584,22583,29033,24562,24562,17990,9023,9022,4484,13452,13506,4484,22583,22583,108485,13506,13506,22583,13506,121979,13506,13506,9022,13560,13560,13560,73686,13506,13506,29033,13506
130.13,4386,762,13545,9023,45100,9042,4520,4520,4520,13545,13545,4520,18066,18018,24701,40551,13545,29233,13545,22549,40580,70786,22549,22549,29233,24714,24714,18066,9012,9024,4520,13560,13545,4520,22549,22549,107885,13545,13545,22549,13545,122886,13544,13544,9023,13526,13527,13526,74142,13545,13545,29233,13545
122.17,4044,712,12653,8443,42238,8420,4210,4210,4210,12653,12653,4210,16863,16882,23108,38047,12653,27420,12653,21119,38028,65874,21119,21119,27420,23174,23174,16863,8416,8443,4210,12630,12653,4210,21119,21119,101630,12653,12653,21119,12653,115116,12653,12653,8443,12676,12676,12676,69522,12653,12653,27420,12653
124.83,4203,754,12976,8648,43204,8660,4334,4334,4334,12976,12976,4334,17305,17294,23701,38844,12976,27932,12976,21610,38870,67805,21610,21610,27932,23635,23635,17305,8667,8643,4334,13002,12976,4334,21610,21610,103427,12976,12976,21610,12976,117423,12979,12979,8648,12962,12959,12962,70905,12976,12976,27932,12976
119.53,3995,706,12419,8286,41474,8262,4127,4127,4127,12419,12419,4127,16551,16594,22658,37337,12419,26775,12419,20731,37347,65113,20731,20731,26775,22640,22640,16551,8276,8291,4127,12381,12419,4127,20731,20731,99683,12419,12419,20731,12419,112449,12416,12416,8286,12445,12448,12449,67920,12419,12419,26775,12419
131.77,4668,740,13468,8978,44892,8980,4490,4490,4490,13468,13468,4490,17958,17958,24853,40408,13468,29422,13468,22444,40402,71705,22444,22444,29422,24906,24906,17958,8981,8978,4490,13470,13468,4490,22444,22444,107856,13468,13468,22444,13468,123877,13468,13468,8978,13466,13466,13462,74718,13468,13468,29422,13468
134.97,4617,770,14011,9334,46642,9354,4677,4677,4677,14011,14011,4677,18688,18636,25486,41975,14011,30091,14011,23325,41965,72942,23325,23325,30091,25444,25444,18688,9324,9334,4677,14031,14011,4677,23325,23325,111711,14011,14011,23325,14011,126471,14011,14011,9334,13991,13989,13991,76332,14011,14011,30091,14011
