 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
121.27,3864,3965,1993,25762,62189,672,25762,670,1323,21800,21800,7370,77457,65400,25762,77456,21752,1323,670,108293
132.9,4571,4444,2126,28826,70423,698,28826,699,1427,24390,24390,7689,91684,73170,28826,91685,24395,1427,699,121357
132.53,4336,4517,2211,29081,70707,723,29081,724,1487,24591,24591,7964,87591,73773,29081,87591,24621,1487,724,122155
132.9,4537,4474,2331,29264,71379,780,29264,780,1551,24790,24790,8580,91684,74370,29264,91684,24825,1551,780,123193
128.1,4168,4393,2196,28376,68475,716,28376,716,1480,23989,23989,7876,84546,71967,28376,84546,23934,1480,716,119224
129.37,4404,4419,2228,28893,69723,738,28893,737,1490,24471,24471,8107,87367,73413,28893,87367,24417,1490,737,121559
111.2,3888,4000,1903,25697,61837,620,25697,619,1285,21696,21696,6809,75920,65088,25697,75920,21796,1285,619,107858
121.97,4112,4134,2186,27085,65392,754,27085,756,1430,22895,22895,8316,82731,68685,27085,82731,22838,1430,756,113767
129.27,4372,4416,2178,28541,69600,737,28541,737,1441,24134,24134,8107,88077,72402,28541,88077,24146,1441,737,119943
122,4110,4166,2011,26746,65003,679,26746,679,1332,22622,22622,7469,82359,67866,26746,82359,22667,1332,679,112441
134.6,4538,4546,2437,29847,72375,803,29847,803,1634,25284,25284,8833,91143,75852,29847,91143,25293,1634,803,125556
127.57,4090,4341,2077,27883,66587,684,27883,684,1393,23520,23520,7524,82240,70560,27883,82240,23393,1393,684,117029
125.57,4230,4283,2147,27815,68168,708,27815,707,1440,23534,23534,7777,85866,70602,27815,85866,23612,1440,707,116888
123.3,4229,4181,2210,27297,66437,754,27297,755,1455,23126,23126,8305,84847,69378,27297,84847,23134,1455,755,114816
121.1,4124,4086,2039,26518,64935,691,26518,691,1347,22431,22431,7601,84976,67293,26518,84976,22347,1347,691,111512
133.77,4606,4543,2281,29471,71928,770,29471,769,1513,24951,24951,8459,91304,74853,29471,91304,25009,1513,769,123890
130.27,4369,4452,2263,28906,70424,764,28906,763,1499,24455,24455,8393,89179,73365,28906,89179,24488,1499,763,121561
127.07,4237,4280,2241,27901,67525,765,27901,767,1475,23586,23586,8437,85791,70758,27901,85791,23569,1475,767,117207
131.37,4475,4458,2259,28968,70908,738,28968,736,1523,24525,24525,8096,90708,73573,28968,90707,24537,1523,736,121734
