 CPUAvg,buy,main, AService:570,ItemDaoImpl:233,SearchController:32,SearchController:91,AController:54,ItemDaoImpl:280,AController:90,AController:114,AuthorDaoImpl:64,SearchController:70,AController:96,AController:134,AController:102,AService:468,DaoImpl:43,AController:108,AController:42
115.97,4002,652,0,16009,3992,3988,108538,0,25820,21852,1336,3988,25820,65556,25820,1336,63405,21852,21842
128.47,4392,741,0,17361,4435,4438,120572,0,28662,24277,1445,4438,28662,72831,28662,1445,69347,24277,24246
128.73,4241,707,0,17139,4260,4262,115863,0,27578,23323,1428,4262,27578,69969,27578,1428,67451,23323,23340
129.77,4504,801,0,17719,4460,4455,124294,0,29585,25008,1478,4455,29585,75024,29585,1478,71351,25008,24998
125.6,4311,746,0,17148,4294,4297,117708,0,27972,23693,1429,4297,27972,71079,27972,1429,68128,23693,23660
125.27,4363,722,0,17557,4339,4337,117926,0,28043,23729,1463,4337,28043,71187,28043,1463,68728,23729,23784
122.2,4148,728,0,17740,4323,4327,115179,0,27366,23165,1477,4327,27366,69495,27366,1477,67152,23165,23143
122.1,4246,691,0,16764,4235,4231,115663,0,27491,23266,1398,4232,27491,69795,27491,1398,66903,23266,23253
124.2,4274,681,0,17713,4364,4367,116683,0,27724,23456,1476,4366,27724,70371,27724,1476,68111,23456,23482
129.47,4473,731,0,17852,4455,4451,123243,0,29313,24808,1488,4451,29313,74424,29313,1488,71262,24808,24761
127.43,4543,768,0,18419,4562,4566,124306,0,29550,25000,1534,4566,29550,75000,29550,1534,72097,25000,25025
123,4303,751,0,16768,4227,4227,116808,0,27785,23541,1397,4227,27785,70623,27785,1397,67452,23541,23453
125.67,4394,732,0,16546,4221,4221,118376,0,28198,23820,1379,4221,28198,71460,28198,1379,68297,23820,23948
120.8,4151,677,0,16406,4163,4163,115053,0,27354,23123,1367,4164,27354,69369,27354,1367,65849,23123,23024
121.57,4199,751,0,17030,4164,4161,114686,0,27282,23072,1420,4160,27282,69216,27282,1420,66772,23072,23145
126.53,4418,711,0,17731,4370,4366,119404,0,28396,24056,1480,4366,28396,72168,28396,1480,69412,24056,24030
124.07,4333,714,0,16851,4239,4247,118447,0,28156,23834,1401,4247,28156,71502,28156,1401,68490,23834,23815
128.4,4413,743,0,18241,4469,4464,121653,0,28925,24486,1522,4464,28925,73458,28925,1522,70891,24486,24480
123.07,4259,684,0,17600,4386,4389,117781,0,27994,23667,1465,4389,27994,71001,27994,1465,68120,23667,23747
121.27,4235,663,0,16487,4177,4178,115648,0,27500,23255,1374,4178,27500,69765,27500,1374,66614,23255,23245
127.57,4474,738,0,17315,4371,4370,120796,0,28747,24320,1443,4370,28747,72960,28747,1443,69775,24320,24239
124.37,4346,760,0,17814,4373,4374,119660,0,28445,24059,1485,4374,28445,72177,28445,1485,69579,24059,24148
120.87,4120,615,0,17684,4266,4266,111834,0,26539,22509,1473,4266,26539,67527,26539,1473,66201,22509,22495
128.2,4619,816,0,18043,4577,4575,126822,0,30173,25524,1505,4575,30173,76572,30173,1505,72887,25524,25519
119.57,4236,691,0,16244,4142,4145,114990,0,27369,23129,1352,4145,27369,69387,27369,1352,65749,23129,23084
126.57,4307,700,0,18096,4444,4443,119221,0,28319,23980,1508,4443,28319,71940,28319,1508,69651,23980,23967
128.9,4463,742,0,18120,4506,4507,121621,0,28913,24475,1510,4507,28913,73425,28913,1510,70807,24475,24531
120.03,4153,705,0,16968,4194,4192,113262,0,26907,22800,1414,4192,26907,68400,26907,1414,66286,22800,22810
126.3,4422,722,0,16792,4261,4259,120976,0,28783,24323,1400,4259,28783,72969,28783,1400,69131,24323,24282
123.8,4193,712,0,16725,4153,4156,114398,0,27214,23043,1394,4156,27214,69129,27214,1394,66355,23043,23054
120.3,4141,672,0,17165,4181,4181,112964,0,26857,22717,1430,4181,26857,68151,26857,1430,65808,22717,22715
130.2,4485,684,0,18684,4637,4634,123860,0,29409,24914,1557,4634,29409,74742,29409,1557,72210,24914,24906
118.07,4111,704,0,16493,4109,4110,112353,0,26730,22605,1375,4110,26730,67815,26730,1375,64992,22605,22548
129.3,4469,718,0,18351,4597,4588,122553,0,29121,24649,1534,4588,29121,73947,29121,1534,71275,24649,24730
127.07,4470,752,0,17361,4379,4390,122216,0,29069,24582,1441,4390,29069,73746,29069,1441,70449,24582,24551
