BootstrapNum, LoggingLocation, p-value, EffectSize
1,ConceptServiceImpl.929,0.0167,negligible
2,ConceptServiceImpl.929,0.1154,negligible
3,ConceptServiceImpl.929,0.0873,negligible
4,ConceptServiceImpl.929,0.0989,negligible
5,ConceptServiceImpl.929,0.0619,negligible
6,ConceptServiceImpl.929,0.0277,negligible
7,ConceptServiceImpl.929,0.0496,negligible
8,ConceptServiceImpl.929,0.0251,negligible
9,ConceptServiceImpl.929,0.0266,negligible
10,ConceptServiceImpl.929,0.0308,negligible
11,ConceptServiceImpl.929,0.0279,negligible
12,ConceptServiceImpl.929,0.0449,negligible
13,ConceptServiceImpl.929,0.1018,negligible
14,ConceptServiceImpl.929,0.0387,negligible
15,ConceptServiceImpl.929,0.0363,negligible
16,ConceptServiceImpl.929,0.0642,negligible
17,ConceptServiceImpl.929,0.0782,negligible
18,ConceptServiceImpl.929,0.0592,negligible
19,ConceptServiceImpl.929,0.0278,negligible
20,ConceptServiceImpl.929,0.0903,negligible
21,ConceptServiceImpl.929,0.035,negligible
22,ConceptServiceImpl.929,0.0457,negligible
23,ConceptServiceImpl.929,0.0217,negligible
24,ConceptServiceImpl.929,0.083,negligible
25,ConceptServiceImpl.929,0.048,negligible
26,ConceptServiceImpl.929,0.0821,negligible
27,ConceptServiceImpl.929,0.0251,negligible
28,ConceptServiceImpl.929,0.0401,negligible
29,ConceptServiceImpl.929,0.0356,negligible
30,ConceptServiceImpl.929,0.0294,negligible
31,ConceptServiceImpl.929,0.0241,negligible
32,ConceptServiceImpl.929,0.0196,negligible
33,ConceptServiceImpl.929,0.0618,negligible
34,ConceptServiceImpl.929,0.0631,negligible
35,ConceptServiceImpl.929,0.017,negligible
36,ConceptServiceImpl.929,0.1127,negligible
37,ConceptServiceImpl.929,0.1034,negligible
38,ConceptServiceImpl.929,0.0394,negligible
39,ConceptServiceImpl.929,0.11,negligible
40,ConceptServiceImpl.929,0.0285,negligible
41,ConceptServiceImpl.929,0.0246,negligible
42,ConceptServiceImpl.929,0.0216,negligible
43,ConceptServiceImpl.929,0.0409,negligible
44,ConceptServiceImpl.929,0.0341,negligible
45,ConceptServiceImpl.929,0.1065,negligible
46,ConceptServiceImpl.929,0.0228,negligible
47,ConceptServiceImpl.929,0.012,negligible
48,ConceptServiceImpl.929,0.0716,negligible
49,ConceptServiceImpl.929,0.052,negligible
50,ConceptServiceImpl.929,0.0122,negligible
51,ConceptServiceImpl.929,0.0553,negligible
52,ConceptServiceImpl.929,0.101,negligible
53,ConceptServiceImpl.929,0.03,negligible
54,ConceptServiceImpl.929,0.0411,negligible
55,ConceptServiceImpl.929,0.0346,negligible
56,ConceptServiceImpl.929,0.09,negligible
57,ConceptServiceImpl.929,0.0266,negligible
58,ConceptServiceImpl.929,0.0215,negligible
59,ConceptServiceImpl.929,0.0227,negligible
60,ConceptServiceImpl.929,0.0804,negligible
61,ConceptServiceImpl.929,0.007,negligible
62,ConceptServiceImpl.929,0.0505,negligible
63,ConceptServiceImpl.929,0.0965,negligible
64,ConceptServiceImpl.929,0.0453,negligible
65,ConceptServiceImpl.929,0.0804,negligible
66,ConceptServiceImpl.929,0.0636,negligible
67,ConceptServiceImpl.929,0.0565,negligible
68,ConceptServiceImpl.929,0.0342,negligible
69,ConceptServiceImpl.929,0.0807,negligible
70,ConceptServiceImpl.929,0.0341,negligible
71,ConceptServiceImpl.929,0.0227,negligible
72,ConceptServiceImpl.929,0.06,negligible
73,ConceptServiceImpl.929,0.0848,negligible
74,ConceptServiceImpl.929,0.0602,negligible
75,ConceptServiceImpl.929,0.095,negligible
76,ConceptServiceImpl.929,0.0246,negligible
77,ConceptServiceImpl.929,0.0358,negligible
78,ConceptServiceImpl.929,0.0118,negligible
79,ConceptServiceImpl.929,0.015,negligible
80,ConceptServiceImpl.929,0.044,negligible
81,ConceptServiceImpl.929,0.0466,negligible
82,ConceptServiceImpl.929,0.0893,negligible
83,ConceptServiceImpl.929,0.0143,negligible
84,ConceptServiceImpl.929,0.0526,negligible
85,ConceptServiceImpl.929,0.0437,negligible
86,ConceptServiceImpl.929,0.0332,negligible
87,ConceptServiceImpl.929,0.0382,negligible
88,ConceptServiceImpl.929,0.0517,negligible
89,ConceptServiceImpl.929,0.0659,negligible
90,ConceptServiceImpl.929,0.0389,negligible
91,ConceptServiceImpl.929,0.064,negligible
92,ConceptServiceImpl.929,0.109,negligible
93,ConceptServiceImpl.929,0.1041,negligible
94,ConceptServiceImpl.929,0.0161,negligible
95,ConceptServiceImpl.929,0.0367,negligible
96,ConceptServiceImpl.929,0.0304,negligible
97,ConceptServiceImpl.929,0.0254,negligible
98,ConceptServiceImpl.929,0.0311,negligible
99,ConceptServiceImpl.929,0.0893,negligible
100,ConceptServiceImpl.929,0.048,negligible
