BootstrapNum, LoggingLocation, p-value, EffectSize
1,BaseOpenmrsObject.81,0,small
2,BaseOpenmrsObject.81,0,small
3,BaseOpenmrsObject.81,0,small
4,BaseOpenmrsObject.81,0,small
5,BaseOpenmrsObject.81,2e-04,small
6,BaseOpenmrsObject.81,0,small
7,BaseOpenmrsObject.81,0,small
8,BaseOpenmrsObject.81,0,small
9,BaseOpenmrsObject.81,0,small
10,BaseOpenmrsObject.81,0,small
11,BaseOpenmrsObject.81,0,small
12,BaseOpenmrsObject.81,0,small
13,BaseOpenmrsObject.81,0,small
14,BaseOpenmrsObject.81,0,small
15,BaseOpenmrsObject.81,0,small
16,BaseOpenmrsObject.81,0,small
17,BaseOpenmrsObject.81,0,small
18,BaseOpenmrsObject.81,0,small
19,BaseOpenmrsObject.81,0,small
20,BaseOpenmrsObject.81,0,small
21,BaseOpenmrsObject.81,0,small
22,BaseOpenmrsObject.81,0,small
23,BaseOpenmrsObject.81,0,small
24,BaseOpenmrsObject.81,0,small
25,BaseOpenmrsObject.81,0,small
26,BaseOpenmrsObject.81,0,small
27,BaseOpenmrsObject.81,0,small
28,BaseOpenmrsObject.81,0,small
29,BaseOpenmrsObject.81,0,small
30,BaseOpenmrsObject.81,0,small
31,BaseOpenmrsObject.81,0,small
32,BaseOpenmrsObject.81,0,small
33,BaseOpenmrsObject.81,0,small
34,BaseOpenmrsObject.81,0,small
35,BaseOpenmrsObject.81,0,small
36,BaseOpenmrsObject.81,0,small
37,BaseOpenmrsObject.81,0,small
38,BaseOpenmrsObject.81,0,small
39,BaseOpenmrsObject.81,0,small
40,BaseOpenmrsObject.81,0,small
41,BaseOpenmrsObject.81,0,small
42,BaseOpenmrsObject.81,0,small
43,BaseOpenmrsObject.81,0,small
44,BaseOpenmrsObject.81,0,small
45,BaseOpenmrsObject.81,0,small
46,BaseOpenmrsObject.81,0,small
47,BaseOpenmrsObject.81,0,small
48,BaseOpenmrsObject.81,0,small
49,BaseOpenmrsObject.81,0,small
50,BaseOpenmrsObject.81,0,small
51,BaseOpenmrsObject.81,0,small
52,BaseOpenmrsObject.81,0,small
53,BaseOpenmrsObject.81,0,small
54,BaseOpenmrsObject.81,0,small
55,BaseOpenmrsObject.81,0,small
56,BaseOpenmrsObject.81,0,small
57,BaseOpenmrsObject.81,0,small
58,BaseOpenmrsObject.81,0,small
59,BaseOpenmrsObject.81,0,small
60,BaseOpenmrsObject.81,0,small
61,BaseOpenmrsObject.81,0,small
62,BaseOpenmrsObject.81,0,small
63,BaseOpenmrsObject.81,0,small
64,BaseOpenmrsObject.81,0,small
65,BaseOpenmrsObject.81,0,small
66,BaseOpenmrsObject.81,0,small
67,BaseOpenmrsObject.81,0,small
68,BaseOpenmrsObject.81,0,small
69,BaseOpenmrsObject.81,0,small
70,BaseOpenmrsObject.81,0,small
71,BaseOpenmrsObject.81,0,small
72,BaseOpenmrsObject.81,0,small
73,BaseOpenmrsObject.81,0,small
74,BaseOpenmrsObject.81,0,small
75,BaseOpenmrsObject.81,0,small
76,BaseOpenmrsObject.81,0,small
77,BaseOpenmrsObject.81,0,small
78,BaseOpenmrsObject.81,0,small
79,BaseOpenmrsObject.81,0,small
80,BaseOpenmrsObject.81,0,small
81,BaseOpenmrsObject.81,0,small
82,BaseOpenmrsObject.81,0,small
83,BaseOpenmrsObject.81,0,small
84,BaseOpenmrsObject.81,0,small
85,BaseOpenmrsObject.81,0,small
86,BaseOpenmrsObject.81,0,small
87,BaseOpenmrsObject.81,0,small
88,BaseOpenmrsObject.81,0,small
89,BaseOpenmrsObject.81,0,small
90,BaseOpenmrsObject.81,0,small
91,BaseOpenmrsObject.81,0,small
92,BaseOpenmrsObject.81,0,small
93,BaseOpenmrsObject.81,0,small
94,BaseOpenmrsObject.81,0,small
95,BaseOpenmrsObject.81,0,small
96,BaseOpenmrsObject.81,0,small
97,BaseOpenmrsObject.81,0,small
98,BaseOpenmrsObject.81,0,small
99,BaseOpenmrsObject.81,0,small
100,BaseOpenmrsObject.81,0,small
