Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525705344 To 1525705374,93.87,878,70,
From 1525705374 To 1525705404,99.7,765,58,
From 1525705404 To 1525705434,94.23,791,69,
From 1525705434 To 1525705464,100.47,712,67,
From 1525705464 To 1525705494,103.17,760,63,
From 1525705494 To 1525705524,103.03,980,72,
From 1525705524 To 1525705554,93.27,816,57,
From 1525705554 To 1525705584,96.0,730,66,
From 1525705584 To 1525705614,100.2,776,63,
From 1525705614 To 1525705644,83.03,652,61,
From 1525705644 To 1525705674,92.83,972,65,
From 1525705674 To 1525705704,96.37,666,61,
From 1525705705 To 1525705735,91.73,869,67,
From 1525705735 To 1525705765,95.67,711,47,
From 1525705765 To 1525705795,100.97,795,81,
From 1525705795 To 1525705825,96.07,696,61,
From 1525705825 To 1525705855,104.3,701,66,
From 1525705855 To 1525705885,99.87,752,79,
From 1525705885 To 1525705915,98.33,864,69,
From 1525705915 To 1525705945,96.63,674,61,
From 1525705945 To 1525705975,98.9,768,68,
From 1525705975 To 1525706005,97.37,632,66,
From 1525706005 To 1525706035,95.13,862,62,
From 1525706035 To 1525706065,94.63,594,59,
From 1525706065 To 1525706095,99.13,754,71,
From 1525706095 To 1525706125,102.27,962,63,
From 1525706126 To 1525706156,96.73,866,63,
From 1525706156 To 1525706186,95.47,766,67,
From 1525706186 To 1525706216,97.5,732,62,
From 1525706216 To 1525706246,98.27,846,69,
From 1525706246 To 1525706276,103.87,797,71,
From 1525706276 To 1525706306,104.0,755,61,
From 1525706306 To 1525706336,99.23,584,74,
From 1525706336 To 1525706366,97.77,861,59,
From 1525706366 To 1525706396,95.43,795,65,
From 1525706396 To 1525706426,100.27,730,60,
From 1525706426 To 1525706456,97.03,789,69,
From 1525706456 To 1525706486,94.0,771,66,
From 1525706486 To 1525706516,91.87,769,57,
From 1525706517 To 1525706547,98.4,925,66,
From 1525706547 To 1525706577,100.63,720,67,
From 1525706577 To 1525706607,97.47,708,71,
From 1525706607 To 1525706637,100.3,540,76,
From 1525706637 To 1525706667,100.83,852,62,
From 1525706667 To 1525706697,99.6,770,61,
From 1525706697 To 1525706727,95.47,998,60,
From 1525706727 To 1525706757,101.3,786,65,
From 1525706757 To 1525706787,90.9,642,68,
From 1525706787 To 1525706817,89.0,843,77,
From 1525706817 To 1525706847,85.83,637,69,
From 1525706847 To 1525706877,83.33,534,63,
From 1525706877 To 1525706907,90.67,760,58,
From 1525706908 To 1525706938,90.13,782,62,
From 1525706938 To 1525706968,91.4,714,65,
From 1525706968 To 1525706998,88.9,612,71,
From 1525706998 To 1525707028,88.9,774,58,
From 1525707028 To 1525707058,94.93,914,60,
From 1525707058 To 1525707088,91.4,735,79,
From 1525707088 To 1525707118,90.0,831,71,
From 1525707118 To 1525707148,91.33,896,64,
From 1525707148 To 1525707178,88.87,694,69,
From 1525707178 To 1525707208,91.87,756,65,
From 1525707208 To 1525707238,89.33,787,72,
From 1525707238 To 1525707268,90.63,811,77,
From 1525707269 To 1525707299,92.67,674,69,
From 1525707299 To 1525707329,89.77,670,69,
From 1525707329 To 1525707359,91.23,712,49,
From 1525707359 To 1525707389,91.07,712,73,
From 1525707389 To 1525707419,95.17,779,65,
From 1525707419 To 1525707449,89.43,647,63,
From 1525707449 To 1525707479,90.73,706,71,
From 1525707479 To 1525707509,91.1,794,62,
From 1525707509 To 1525707539,91.63,794,73,
From 1525707539 To 1525707569,86.6,743,65,
From 1525707569 To 1525707599,90.87,781,58,
From 1525707599 To 1525707629,84.77,741,65,
From 1525707629 To 1525707659,88.3,786,63,
From 1525707660 To 1525707690,91.07,672,64,
From 1525707690 To 1525707720,79.27,740,56,
From 1525707720 To 1525707750,88.93,811,62,
From 1525707750 To 1525707780,88.83,581,73,
From 1525707780 To 1525707810,93.53,747,58,
From 1525707810 To 1525707840,94.3,827,53,
From 1525707840 To 1525707870,90.6,819,67,
From 1525707870 To 1525707900,92.37,709,60,
From 1525707900 To 1525707930,87.83,712,59,
From 1525707930 To 1525707960,90.4,723,59,
From 1525707960 To 1525707990,87.37,608,72,
From 1525707991 To 1525708021,88.13,742,60,
From 1525708021 To 1525708051,91.63,738,68,
From 1525708051 To 1525708081,86.0,590,65,
From 1525708081 To 1525708111,89.63,688,68,
From 1525708111 To 1525708141,93.73,784,77,
From 1525708141 To 1525708171,95.43,693,66,
From 1525708171 To 1525708201,86.47,729,61,
From 1525708201 To 1525708231,92.3,808,67,
From 1525708231 To 1525708261,85.1,798,59,
From 1525708261 To 1525708291,79.3,654,59,
From 1525708291 To 1525708321,95.53,679,70,
From 1525708321 To 1525708351,87.47,903,68,
From 1525708352 To 1525708382,90.83,723,64,
From 1525708382 To 1525708412,89.47,823,60,
From 1525708412 To 1525708442,90.73,744,50,
From 1525708442 To 1525708472,90.07,658,65,
From 1525708472 To 1525708502,95.13,741,70,
From 1525708502 To 1525708532,94.07,821,62,
From 1525708532 To 1525708562,92.0,624,57,
From 1525708562 To 1525708592,86.9,786,67,
From 1525708592 To 1525708622,86.4,620,53,
From 1525708622 To 1525708652,82.4,784,56,
From 1525708652 To 1525708682,87.93,604,65,
From 1525708683 To 1525708713,84.77,690,69,
From 1525708713 To 1525708743,81.6,690,60,
From 1525708743 To 1525708773,86.6,870,59,
From 1525708773 To 1525708803,85.7,748,62,
From 1525708803 To 1525708833,85.63,732,74,
From 1525708833 To 1525708863,89.9,774,73,
From 1525708863 To 1525708893,89.8,713,64,
From 1525708893 To 1525708923,89.13,777,79,
From 1525708923 To 1525708953,93.03,746,66,
From 1525708953 To 1525708983,93.77,760,87,
From 1525708983 To 1525709013,89.27,731,57,
From 1525709014 To 1525709044,81.87,726,70,
From 1525709044 To 1525709074,91.03,824,55,
From 1525709074 To 1525709104,95.13,719,73,
From 1525709104 To 1525709134,88.03,750,62,
From 1525709134 To 1525709164,95.07,540,64,
From 1525709164 To 1525709194,85.43,760,59,
From 1525709194 To 1525709224,90.83,710,69,
From 1525709224 To 1525709254,80.2,588,54,
From 1525709254 To 1525709284,85.3,752,59,
From 1525709284 To 1525709314,92.07,768,62,
From 1525709314 To 1525709344,95.23,768,61,
From 1525709345 To 1525709375,91.33,765,51,
From 1525709375 To 1525709405,86.2,685,69,
From 1525709405 To 1525709435,84.6,694,51,
From 1525709435 To 1525709465,87.17,655,57,
From 1525709465 To 1525709495,89.73,778,60,
From 1525709495 To 1525709525,86.8,707,63,
From 1525709525 To 1525709555,94.2,788,61,
From 1525709555 To 1525709585,95.1,723,63,
From 1525709585 To 1525709615,89.33,679,56,
From 1525709615 To 1525709645,91.67,784,65,
From 1525709646 To 1525709676,88.73,750,72,
From 1525709676 To 1525709706,89.33,804,76,
From 1525709706 To 1525709736,81.53,722,61,
From 1525709736 To 1525709766,89.87,770,73,
From 1525709766 To 1525709796,87.47,692,47,
From 1525709796 To 1525709826,92.73,946,63,
From 1525709826 To 1525709856,90.0,730,52,
From 1525709856 To 1525709886,84.57,760,64,
From 1525709886 To 1525709916,95.2,700,67,
From 1525709916 To 1525709946,92.33,682,60,
From 1525709947 To 1525709977,95.47,896,55,
From 1525709977 To 1525710007,87.4,681,61,
From 1525710007 To 1525710037,87.1,753,58,
From 1525710037 To 1525710067,87.47,595,52,
From 1525710067 To 1525710097,84.57,721,58,
From 1525710097 To 1525710127,88.3,589,65,
From 1525710127 To 1525710157,90.4,771,60,
From 1525710157 To 1525710187,87.57,613,59,
From 1525710187 To 1525710217,88.13,755,56,
From 1525710217 To 1525710247,94.83,687,65,
From 1525710248 To 1525710278,93.5,763,74,
From 1525710278 To 1525710308,83.53,712,54,
From 1525710308 To 1525710338,98.93,730,56,
From 1525710338 To 1525710368,93.97,874,63,
From 1525710368 To 1525710398,91.37,774,66,
From 1525710398 To 1525710428,84.03,660,54,
From 1525710428 To 1525710458,89.63,792,58,
From 1525710458 To 1525710488,91.17,562,58,
From 1525710488 To 1525710518,85.23,797,50,
From 1525710519 To 1525710549,85.73,679,65,
From 1525710549 To 1525710579,91.6,580,66,
From 1525710579 To 1525710609,91.27,619,66,
From 1525710609 To 1525710639,87.47,842,60,
From 1525710639 To 1525710669,90.6,637,60,
From 1525710669 To 1525710699,87.43,690,60,
From 1525710699 To 1525710729,91.13,870,52,
From 1525710729 To 1525710759,87.9,714,60,
From 1525710759 To 1525710789,86.43,693,56,
From 1525710790 To 1525710820,86.27,771,67,
From 1525710820 To 1525710850,96.53,770,53,
From 1525710850 To 1525710880,86.13,646,58,
From 1525710880 To 1525710910,88.17,739,63,
From 1525710910 To 1525710940,96.73,745,68,
From 1525710940 To 1525710970,88.73,746,53,
From 1525710970 To 1525711000,88.53,653,71,
From 1525711000 To 1525711030,89.7,759,63,
From 1525711030 To 1525711060,83.3,622,62,
From 1525711061 To 1525711091,88.17,796,70,
From 1525711091 To 1525711121,92.63,737,64,
From 1525711121 To 1525711151,90.4,809,53,
From 1525711151 To 1525711181,92.47,670,49,
From 1525711181 To 1525711211,75.77,547,58,
From 1525711211 To 1525711241,95.13,849,52,
From 1525711241 To 1525711271,76.67,694,59,
From 1525711272 To 1525711302,77.2,520,76,
From 1525711302 To 1525711332,94.53,845,57,
From 1525711332 To 1525711362,87.43,727,52,
From 1525711362 To 1525711392,85.4,814,55,
From 1525711392 To 1525711422,81.57,604,58,
From 1525711422 To 1525711452,84.23,720,54,
From 1525711452 To 1525711482,78.8,518,54,
From 1525711483 To 1525711513,80.7,752,57,
From 1525711513 To 1525711543,87.53,772,58,
From 1525711543 To 1525711573,91.4,617,53,
From 1525711573 To 1525711603,82.1,641,46,
From 1525711603 To 1525711633,90.53,555,64,
From 1525711633 To 1525711663,80.8,613,79,
From 1525711663 To 1525711693,82.87,566,49,
From 1525711693 To 1525711723,83.9,538,59,
From 1525711724 To 1525711754,79.03,622,58,
From 1525711754 To 1525711784,57.87,577,42,
From 1525711784 To 1525711814,41.33,320,37,
From 1525711814 To 1525711844,92.57,681,55,
From 1525711844 To 1525711874,83.37,530,53,
From 1525711874 To 1525711904,84.33,653,67,
From 1525711904 To 1525711934,78.93,669,49,
From 1525711934 To 1525711964,90.77,612,67,
From 1525711965 To 1525711995,89.57,722,66,
From 1525711995 To 1525712025,84.03,670,58,
From 1525712025 To 1525712055,91.43,772,63,
From 1525712055 To 1525712085,91.13,778,66,
From 1525712085 To 1525712115,85.53,622,65,
From 1525712115 To 1525712145,88.07,594,62,
From 1525712145 To 1525712175,76.97,600,53,
From 1525712176 To 1525712206,80.57,720,54,
From 1525712206 To 1525712236,81.8,600,61,
From 1525712236 To 1525712266,83.0,631,51,
From 1525712266 To 1525712296,79.7,626,62,
From 1525712296 To 1525712326,81.1,591,68,
From 1525712326 To 1525712356,76.07,586,62,
From 1525712356 To 1525712386,85.03,562,54,
From 1525712386 To 1525712416,86.8,716,63,
From 1525712417 To 1525712447,74.8,576,61,
From 1525712447 To 1525712477,86.67,648,57,
From 1525712477 To 1525712507,77.0,526,50,
From 1525712507 To 1525712537,87.93,678,59,
