Period, CPUAvg, person,obs,encounter, ConceptServiceImpl:929,ConceptServiceImpl:300
From 110224 To 110254,93.87,2218,79,53,878,70
From 110294 To 110324,99.7,2393,67,66,765,58
From 110324 To 110354,94.23,2301,64,67,791,69
From 110394 To 110424,100.47,2439,63,71,712,67
From 110424 To 110454,103.17,2452,67,75,760,63
From 110494 To 110524,103.03,2461,87,65,980,72
From 110524 To 110554,93.27,2242,68,58,816,57
From 110594 To 110624,96,2368,65,64,730,66
From 110624 To 110654,100.2,2377,70,65,776,63
From 110694 To 110724,83.03,1973,56,45,652,61
From 110724 To 110754,92.83,2243,81,58,972,65
From 110794 To 110824,96.37,2311,59,62,666,61
From 110825 To 110855,91.73,2293,76,62,869,67
From 110895 To 110925,95.67,2311,65,85,711,47
From 110925 To 110955,100.97,2441,68,59,795,81
From 110995 To 111025,96.07,2274,56,61,696,61
From 111025 To 111055,104.3,2492,63,74,701,66
From 111095 To 111125,99.87,2356,68,63,752,79
From 111125 To 111155,98.33,2404,73,80,864,69
From 111195 To 111225,96.63,2260,59,70,674,61
From 111225 To 111255,98.9,2278,70,57,768,68
From 111295 To 111325,97.37,2311,58,69,632,66
From 111325 To 111355,95.13,2282,76,61,862,62
From 111395 To 111425,94.63,2202,51,65,594,59
From 111425 To 111455,99.13,2351,66,64,754,71
From 111495 To 111525,102.27,2424,83,64,962,63
From 111526 To 111556,96.73,2427,75,71,866,63
From 111596 To 111626,95.47,2263,64,69,766,67
From 111626 To 111656,97.5,2315,64,83,732,62
From 111696 To 111726,98.27,2386,71,65,846,69
From 111726 To 111756,103.87,2459,70,72,797,71
From 111796 To 111826,104,2452,66,76,755,61
From 111826 To 111856,99.23,2324,52,60,584,74
From 111896 To 111926,97.77,2325,67,69,861,59
From 111926 To 111956,95.43,2172,68,54,795,65
From 111996 To 112026,100.27,2324,65,63,730,60
From 112026 To 112056,97.03,2340,70,67,789,69
From 112096 To 112126,94,2260,65,66,771,66
From 112126 To 112156,91.87,2085,63,56,769,57
From 112197 To 112227,98.4,2333,88,61,925,66
From 112227 To 112257,100.63,2381,64,70,720,67
From 112297 To 112327,97.47,2293,61,63,708,71
From 112327 To 112357,100.3,2357,49,69,540,76
From 112397 To 112427,100.83,2335,72,60,852,62
From 112427 To 112457,99.6,2391,69,81,770,61
From 112497 To 112527,95.47,2228,87,66,998,60
From 112527 To 112557,101.3,2274,64,73,786,65
From 112597 To 112627,90.9,2229,59,77,642,68
From 112627 To 112657,89,2282,67,55,843,77
From 112697 To 112727,85.83,2192,59,65,637,69
From 112727 To 112757,83.33,2099,44,56,534,63
From 112797 To 112827,90.67,2344,67,82,760,58
From 112828 To 112858,90.13,2375,63,67,782,62
From 112898 To 112928,91.4,2295,65,66,714,65
From 112928 To 112958,88.9,2241,59,61,612,71
From 112998 To 113028,88.9,2245,64,73,774,58
From 113028 To 113058,94.93,2399,77,73,914,60
From 113098 To 113128,91.4,2273,62,55,735,79
From 113128 To 113158,90,2240,68,67,831,71
From 113198 To 113228,91.33,2297,71,66,896,64
From 113228 To 113258,88.87,2250,60,65,694,69
From 113298 To 113328,91.87,2315,65,60,756,65
From 113328 To 113358,89.33,2266,67,60,787,72
From 113398 To 113428,90.63,2310,72,67,811,77
From 113429 To 113459,92.67,2379,58,71,674,69
From 113499 To 113529,89.77,2242,61,58,670,69
From 113529 To 113559,91.23,2237,67,57,712,49
From 113599 To 113629,91.07,2306,62,60,712,73
From 113629 To 113659,95.17,2338,68,65,779,65
From 113699 To 113729,89.43,2228,55,68,647,63
From 113729 To 113759,90.73,2290,63,70,706,71
From 113799 To 113829,91.1,2276,66,66,794,62
From 113829 To 113859,91.63,2248,69,55,794,73
From 113899 To 113929,86.6,2177,63,66,743,65
From 113929 To 113959,90.87,2239,69,61,781,58
From 113999 To 114029,84.77,2167,61,59,741,65
From 114029 To 114059,88.3,2191,68,68,786,63
From 114100 To 114130,91.07,2339,59,67,672,64
From 114170 To 114200,79.27,1968,64,50,740,56
From 114200 To 114230,88.93,2193,68,64,811,62
From 114270 To 114300,88.83,2157,50,58,581,73
From 114300 To 114330,93.53,2280,69,70,747,58
From 114370 To 114400,94.3,2325,68,70,827,53
From 114400 To 114430,90.6,2288,65,75,819,67
From 114470 To 114500,92.37,2233,60,65,709,60
From 114500 To 114530,87.83,2186,61,59,712,59
From 114570 To 114600,90.4,2185,60,46,723,59
From 114600 To 114630,87.37,2170,53,60,608,72
From 114671 To 114701,88.13,2236,66,69,742,60
From 114701 To 114731,91.63,2250,59,66,738,68
From 114771 To 114801,86,2132,50,69,590,65
From 114801 To 114831,89.63,2216,58,68,688,68
From 114871 To 114901,93.73,2304,69,50,784,77
From 114901 To 114931,95.43,2306,64,61,693,66
From 114971 To 115001,86.47,2152,64,52,729,61
From 115001 To 115031,92.3,2294,63,72,808,67
From 115071 To 115101,85.1,2061,69,57,798,59
From 115101 To 115131,79.3,1906,52,53,654,59
From 115171 To 115201,95.53,2345,58,58,679,70
From 115201 To 115231,87.47,2211,76,58,903,68
From 115272 To 115302,90.83,2311,64,66,723,64
From 115302 To 115332,89.47,2176,70,66,823,60
From 115372 To 115402,90.73,2236,65,64,744,50
From 115402 To 115432,90.07,2214,58,67,658,65
From 115472 To 115502,95.13,2305,66,59,741,70
From 115502 To 115532,94.07,2320,82,66,821,62
From 115572 To 115602,92,2276,51,65,624,57
From 115602 To 115632,86.9,2129,68,64,786,67
From 115672 To 115702,86.4,2088,54,52,620,53
From 115702 To 115732,82.4,2059,71,59,784,56
From 115772 To 115802,87.93,2138,55,58,604,65
From 115803 To 115833,84.77,2166,59,71,690,69
From 115873 To 115903,81.6,1985,61,61,690,60
From 115903 To 115933,86.6,2143,70,71,870,59
From 119973 To 120003,85.7,2060,59,50,748,62
From 120003 To 120033,85.63,2165,64,65,732,74
From 120073 To 120103,89.9,2169,61,66,774,73
From 120103 To 120133,89.8,2164,61,54,713,64
From 120173 To 120203,89.13,2188,64,60,777,79
From 120203 To 120233,93.03,2304,65,55,746,66
From 120273 To 120303,93.77,2260,68,51,760,87
From 120303 To 120333,89.27,2157,61,57,731,57
From 120374 To 120404,81.87,2043,63,49,726,70
From 120404 To 120434,91.03,2221,71,57,824,55
From 120474 To 120504,95.13,2294,60,68,719,73
From 120504 To 120534,88.03,2113,69,60,750,62
From 120574 To 120604,95.07,2348,45,81,540,64
From 120604 To 120634,85.43,2051,65,54,760,59
From 120674 To 120704,90.83,2188,62,63,710,69
