Period,CPUAvg,Person:608,Person:319,PersonAttribute:111,Format:45,Person:601,Encounter:381,Person:317,Format:49,Person:314,Person:599,Person:593,Person:606,Patient:52,Person:597
From 1533220282 to 1533220311,58.93,96,150,353,0,848,12,150,0,180,944,945,96,63,944
From 1533220312 to 1533220341,67.93,100,182,311,0,811,22,182,0,218,911,912,100,84,911
From 1533220342 to 1533220371,63.43,84,163,355,0,825,18,163,0,190,909,909,84,61,909
From 1533220372 to 1533220401,53.47,122,152,281,0,724,19,152,0,189,846,847,122,63,846
From 1533220402 to 1533220431,57.57,116,146,424,0,784,40,146,0,182,900,900,116,58,900
From 1533220432 to 1533220462,62.4,136,162,409,0,850,34,162,0,197,986,986,136,82,986
From 1533220463 to 1533220492,53.43,142,135,272,0,721,29,135,0,164,863,863,142,50,863
From 1533220493 to 1533220522,51.53,118,129,256,0,659,18,129,0,168,777,777,118,65,777
From 1533220523 to 1533220552,63.37,226,187,401,0,864,31,187,0,224,1090,1090,226,59,1090
From 1533220553 to 1533220582,49.67,110,130,251,0,586,13,130,0,155,696,697,110,38,696
From 1533220583 to 1533220612,61.53,100,178,296,0,804,44,178,0,219,904,905,100,77,904
From 1533220613 to 1533220642,55.87,132,158,439,0,828,43,158,0,194,960,960,132,59,960
From 1533220643 to 1533220672,52.23,108,145,268,0,655,21,145,0,174,763,764,108,50,763
From 1533220673 to 1533220702,67.07,118,157,420,0,821,33,157,0,191,939,939,118,83,939
From 1533220703 to 1533220733,64.0,132,171,316,0,886,23,171,0,205,1018,1019,132,85,1018
From 1533220734 to 1533220763,58.3,124,142,356,0,692,32,142,0,176,816,817,124,71,816
From 1533220764 to 1533220793,71.33,96,184,435,0,1078,9,184,0,212,1174,1175,96,59,1174
From 1533220794 to 1533220823,64.83,80,157,376,0,787,20,157,0,189,867,867,80,67,867
From 1533220824 to 1533220853,63.7,124,192,332,0,950,39,192,0,230,1074,1075,124,70,1074
From 1533220854 to 1533220883,58.97,122,150,351,0,692,10,150,0,179,814,814,122,47,814
From 1533220884 to 1533220913,54.6,104,137,262,0,766,21,137,0,174,870,871,104,69,870
From 1533220914 to 1533220943,63.07,112,155,348,0,819,25,155,0,187,931,932,112,77,931
From 1533220944 to 1533220973,50.8,148,131,278,0,638,24,131,0,163,786,787,148,61,786
From 1533220974 to 1533221004,65.93,142,177,403,0,911,31,177,0,217,1053,1054,142,81,1053
From 1533221005 to 1533221034,51.73,114,137,303,0,715,43,137,0,168,829,830,114,59,829
From 1533221035 to 1533221064,60.77,120,156,379,0,728,23,156,0,189,848,848,120,77,848
From 1533221065 to 1533221094,55.7,100,161,274,0,707,24,161,0,192,807,808,100,58,807
From 1533221095 to 1533221124,57.63,200,163,352,0,803,21,163,0,203,1003,1004,200,64,1003
From 1533221125 to 1533221154,48.2,94,133,258,0,635,30,133,0,170,729,746,94,58,729
From 1533221155 to 1533221184,66.73,116,169,404,0,833,26,169,0,198,949,949,116,76,949
From 1533221185 to 1533221214,54.07,78,141,244,0,768,20,141,0,178,846,846,78,68,846
From 1533221215 to 1533221245,72.6,104,213,424,0,1013,18,213,0,246,1117,1117,104,51,1117
From 1533221246 to 1533221275,58.5,92,155,259,0,690,16,155,0,186,782,783,92,73,782
From 1533221276 to 1533221305,65.47,140,181,462,0,799,44,181,0,215,939,939,140,78,939
From 1533221306 to 1533221335,53.3,126,144,381,0,871,31,144,0,178,997,997,126,53,997
From 1533221336 to 1533221365,64.57,116,168,290,0,842,25,168,0,202,958,958,116,65,958
From 1533221366 to 1533221395,65.77,164,189,333,0,822,35,189,0,222,986,986,164,67,986
From 1533221396 to 1533221425,50.97,164,134,297,0,678,25,134,0,171,842,842,164,63,842
From 1533221426 to 1533221455,57.17,154,140,301,1,672,15,140,1,170,826,826,154,75,826
From 1533221456 to 1533221485,61.23,106,170,289,0,757,20,170,0,206,863,863,106,70,863
From 1533221486 to 1533221516,57.9,152,169,398,0,877,40,169,0,203,1029,1030,152,70,1029
From 1533221517 to 1533221546,62.7,102,176,366,0,878,36,176,0,211,980,981,102,70,980
From 1533221547 to 1533221576,65.4,140,183,470,0,773,18,183,0,209,913,913,140,53,913
From 1533221577 to 1533221606,67.2,120,185,409,0,1012,15,185,0,220,1132,1132,120,56,1132
From 1533221607 to 1533221636,57.87,114,143,283,0,698,33,143,0,178,812,812,114,81,812
From 1533221637 to 1533221666,53.53,82,120,439,0,660,30,120,0,149,742,743,82,51,742
From 1533221667 to 1533221696,63.63,104,167,408,0,843,41,167,0,202,947,947,104,69,947
From 1533221697 to 1533221726,67.83,136,168,327,0,999,35,168,0,208,1135,1135,136,84,1135
From 1533221727 to 1533221757,55.5,124,153,364,0,696,24,153,0,183,820,820,124,48,820
From 1533221758 to 1533221787,55.7,72,161,251,0,803,14,161,0,192,875,876,72,36,875
From 1533221788 to 1533221817,68.03,106,182,381,0,920,34,182,0,219,1026,1026,106,78,1026
From 1533221818 to 1533221847,55.07,146,135,287,0,665,19,135,0,169,811,811,146,74,811
From 1533221848 to 1533221877,60.67,132,159,366,0,811,14,159,0,191,943,943,132,56,943
From 1533221878 to 1533221907,58.53,104,145,314,0,755,26,145,0,176,859,860,104,73,859
From 1533221908 to 1533221937,60.77,108,170,391,0,752,10,170,0,202,860,861,108,52,860
From 1533221938 to 1533221967,66.77,106,181,302,0,892,30,181,0,217,998,999,106,82,998
From 1533221968 to 1533221998,49.37,178,138,310,0,686,31,138,0,170,864,864,178,70,864
From 1533221999 to 1533222028,58.97,106,166,296,0,751,21,166,0,205,857,873,106,79,857
From 1533222029 to 1533222058,65.63,104,175,343,0,845,24,175,0,204,949,949,104,77,949
From 1533222059 to 1533222088,64.2,82,190,356,0,902,33,190,0,221,984,984,82,60,984
From 1533222089 to 1533222118,57.57,82,153,313,0,793,16,153,0,190,875,875,82,48,875
From 1533222119 to 1533222148,57.17,104,171,299,0,784,38,171,0,208,888,888,104,62,888
From 1533222149 to 1533222178,64.97,138,168,408,0,746,16,168,0,196,884,884,138,61,884
From 1533222179 to 1533222208,53.67,80,123,286,0,791,26,123,0,157,871,872,80,64,871
From 1533222209 to 1533222238,71.0,144,184,435,0,931,37,184,0,221,1075,1076,144,77,1075
From 1533222239 to 1533222269,55.73,144,144,290,0,671,28,144,0,176,815,815,144,61,815
From 1533222270 to 1533222299,57.67,114,151,308,0,705,19,151,0,184,819,819,114,67,819
From 1533222300 to 1533222329,53.0,168,148,309,0,690,34,148,0,183,858,858,168,64,858
From 1533222330 to 1533222359,53.37,112,153,281,0,721,11,153,0,189,833,834,112,41,833
From 1533222360 to 1533222389,59.4,130,170,390,0,780,20,170,0,202,910,910,130,49,910
From 1533222390 to 1533222419,60.9,126,166,352,0,900,30,166,0,195,1026,1026,126,68,1026
From 1533222420 to 1533222449,67.07,92,167,289,0,779,20,167,0,204,871,871,92,95,871
From 1533222450 to 1533222479,64.43,118,151,517,0,909,34,151,0,186,1027,1027,118,77,1027
From 1533222480 to 1533222510,51.33,104,154,280,0,697,43,154,0,184,801,801,104,62,801
From 1533222511 to 1533222540,59.7,98,139,422,0,773,39,139,0,178,871,872,98,63,871
From 1533222541 to 1533222570,70.83,120,169,423,0,965,18,169,0,203,1085,1086,120,73,1085
From 1533222571 to 1533222600,58.77,96,148,332,0,852,30,148,0,174,948,949,96,60,948
From 1533222601 to 1533222630,66.23,132,182,319,0,830,35,182,0,220,962,962,132,87,962
From 1533222631 to 1533222660,63.53,90,159,323,0,807,17,159,0,188,897,897,90,75,897
From 1533222661 to 1533222690,44.47,94,124,237,0,597,38,124,0,154,691,691,94,66,691
From 1533222691 to 1533222720,62.5,146,167,384,0,877,24,167,0,203,1023,1024,146,62,1023
From 1533222721 to 1533222751,66.17,160,166,401,0,742,22,166,0,197,902,903,160,73,902
From 1533222752 to 1533222781,64.33,92,181,295,0,882,19,181,0,216,974,975,92,65,974
From 1533222782 to 1533222811,58.27,110,153,322,0,787,30,153,0,185,897,897,110,77,897
From 1533222812 to 1533222841,54.9,122,138,361,0,752,16,138,0,170,874,874,122,50,874
From 1533222842 to 1533222871,60.7,138,157,307,0,753,16,157,0,192,891,892,138,75,891
From 1533222872 to 1533222901,51.57,170,154,323,0,704,24,154,0,184,874,876,170,48,874
From 1533222902 to 1533222931,58.4,74,148,265,0,684,27,148,0,177,758,759,74,73,758
From 1533222932 to 1533222962,63.83,124,163,391,1,945,35,163,1,202,1069,1070,124,89,1069
From 1533222963 to 1533222992,62.47,96,156,342,0,709,22,156,0,189,805,805,96,71,805
From 1533222993 to 1533223022,56.83,82,157,283,0,817,32,157,0,187,899,899,82,60,899
From 1533223023 to 1533223052,72.17,134,196,333,0,862,26,196,0,234,996,997,134,91,996
From 1533223053 to 1533223082,61.3,90,155,420,0,851,12,155,0,178,941,941,90,46,941
From 1533223083 to 1533223112,59.17,90,144,334,0,669,34,144,0,181,759,759,90,83,759
From 1533223113 to 1533223142,76.1,150,217,380,0,1030,40,217,0,255,1180,1180,150,80,1180
From 1533223143 to 1533223172,57.1,146,123,286,0,618,25,123,0,152,764,764,146,89,764
From 1533223173 to 1533223203,50.1,176,136,306,0,681,35,136,0,173,857,858,176,68,857
From 1533223204 to 1533223233,52.5,136,141,290,0,673,22,141,0,174,809,810,136,64,809
From 1533223234 to 1533223263,64.67,118,186,327,0,810,20,186,0,217,928,929,118,70,928
From 1533223264 to 1533223293,50.03,122,101,363,0,651,16,101,0,135,773,774,122,55,773
From 1533223294 to 1533223323,66.13,116,187,333,0,847,39,187,0,225,963,964,116,85,963
From 1533223324 to 1533223353,50.4,116,106,352,0,633,14,106,0,135,749,750,116,56,749
From 1533223354 to 1533223383,61.77,144,157,316,0,857,40,157,0,194,1001,1001,144,85,1001
From 1533223384 to 1533223414,56.93,112,145,356,0,685,21,145,0,179,797,798,112,51,797
From 1533223415 to 1533223444,63.37,86,157,400,0,889,26,157,0,185,975,976,86,69,975
From 1533223445 to 1533223474,68.9,112,170,416,0,870,22,170,0,207,982,982,112,74,982
From 1533223475 to 1533223504,64.5,134,186,348,0,812,28,186,0,218,946,947,134,68,946
From 1533223505 to 1533223534,54.17,94,138,316,0,640,11,138,0,164,734,734,94,55,734
From 1533223535 to 1533223564,59.5,104,165,285,0,855,30,165,0,205,959,960,104,70,959
From 1533223565 to 1533223594,52.73,130,126,332,0,745,24,126,0,161,875,875,130,57,875
From 1533223595 to 1533223624,54.97,126,141,352,0,656,23,141,0,174,782,783,126,62,782
From 1533223625 to 1533223655,58.1,134,152,291,0,811,20,152,0,188,945,946,134,61,945
From 1533223656 to 1533223685,66.6,116,195,369,0,897,23,195,0,228,1013,1014,116,61,1013
From 1533223686 to 1533223715,61.27,106,156,363,0,780,10,156,0,183,886,887,106,59,886
From 1533223716 to 1533223745,56.0,102,159,286,0,724,29,159,0,192,826,827,102,69,826
From 1533223746 to 1533223775,63.43,214,187,389,0,866,25,187,0,223,1080,1081,214,69,1080
From 1533223776 to 1533223805,43.07,74,139,250,0,528,23,139,0,142,602,619,74,44,602
From 1533223806 to 1533223835,57.07,112,141,356,0,853,17,141,0,174,965,965,112,54,965
From 1533223836 to 1533223866,63.3,106,183,313,0,808,16,183,0,219,914,915,106,74,914
From 1533223867 to 1533223896,53.87,74,127,312,0,720,27,127,0,157,794,795,74,63,794
From 1533223897 to 1533223926,48.03,110,122,240,0,622,24,122,0,160,732,733,110,57,732
From 1533223927 to 1533223956,64.3,118,171,453,0,833,20,171,0,201,951,952,118,39,951
From 1533223957 to 1533223986,55.27,96,133,337,0,723,15,133,0,166,819,819,96,66,819
From 1533223987 to 1533224016,53.4,152,130,277,0,736,25,130,0,163,888,889,152,52,888
From 1533224017 to 1533224046,64.53,162,178,346,0,810,22,178,0,213,972,973,162,63,972
From 1533224047 to 1533224077,52.87,170,138,297,0,660,15,138,0,168,830,831,170,61,830
From 1533224078 to 1533224107,63.17,128,162,302,1,742,34,162,1,194,870,871,128,94,870
From 1533224108 to 1533224137,57.07,106,155,273,0,715,27,155,0,189,821,821,106,73,821
