Period, CPUAvg, person,encounter,obs,concept,
From 235607 To 235637,124.03,336,5,11,8,
From 235677 To 235707,124.33,323,7,8,16,
From 235707 To 235737,82.87,267,5,6,8,
From 235777 To 235807,116.7,278,7,6,8,
From 235807 To 235837,142.9,405,12,13,8,
From 235877 To 235907,120.37,277,5,7,7,
From 235907 To 235937,80.83,287,11,5,11,
From -22 To 8,122.77,279,8,11,9,
From 8 To 38,122.43,2,0,0,1,
From 78 To 108,72.13,3,0,0,0,
From 108 To 138,112.57,3,0,0,0,
From 178 To 208,130.67,3,0,0,0,
From 208 To 238,71.57,3,0,0,0,
From 278 To 308,140.53,3,0,0,0,
From 308 To 338,105.5,245,5,7,5,
From 378 To 408,140.03,323,10,8,8,
From 408 To 438,116.23,258,5,8,12,
From 478 To 508,93.9,319,9,13,10,
From 509 To 539,126.2,312,4,11,9,
From 579 To 609,111.77,294,6,8,8,
From 609 To 639,96.7,310,11,12,10,
From 679 To 709,103.97,324,9,11,11,
From 709 To 739,124.07,292,7,9,8,
From 779 To 809,109.73,293,11,8,3,
From 809 To 839,111.57,359,8,15,7,
From 879 To 909,99.17,288,16,11,5,
From 909 To 939,109.3,301,6,8,11,
From 979 To 1009,87.03,268,4,7,8,
From 1009 To 1039,143.47,354,8,8,11,
From 1079 To 1109,102.8,262,5,8,8,
From 1109 To 1139,122.17,297,3,10,12,
From 1180 To 1210,66.5,265,5,15,14,
From 1210 To 1240,107.83,260,10,12,2,
From 1280 To 1310,123.13,301,5,8,9,
From 1310 To 1340,119.83,334,10,7,13,
From 1380 To 1410,78.97,236,12,7,5,
From 1410 To 1440,115.2,314,6,13,6,
From 1480 To 1510,91.5,300,6,12,11,
From 1510 To 1540,113.57,316,9,7,6,
From 1580 To 1610,100.5,248,9,8,6,
From 1610 To 1640,120.67,331,9,12,11,
From 1680 To 1710,102.87,290,4,7,13,
From 1711 To 1741,110.53,296,3,12,11,
From 1781 To 1811,127.43,320,9,9,9,
From 1811 To 1841,123.47,284,6,15,5,
