Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525962805 To 1525962835,99.73,315,33,
From 1525962835 To 1525962865,91.9,353,20,
From 1525962865 To 1525962895,85.57,351,34,
From 1525962895 To 1525962925,87.3,426,38,
From 1525962926 To 1525962956,88.43,361,36,
From 1525962956 To 1525962986,89.87,373,35,
From 1525962986 To 1525963016,85.2,368,33,
From 1525963016 To 1525963046,81.33,270,35,
From 1525963046 To 1525963076,86.13,388,28,
From 1525963076 To 1525963106,89.0,374,22,
From 1525963106 To 1525963136,86.23,362,27,
From 1525963136 To 1525963166,81.4,448,32,
From 1525963166 To 1525963196,82.47,274,32,
From 1525963196 To 1525963226,93.93,342,37,
From 1525963226 To 1525963256,87.8,460,24,
From 1525963256 To 1525963286,88.4,446,35,
From 1525963286 To 1525963316,87.73,303,26,
From 1525963316 To 1525963346,94.4,365,35,
From 1525963346 To 1525963376,88.53,374,30,
From 1525963377 To 1525963407,84.03,493,34,
From 1525963407 To 1525963437,87.33,261,42,
From 1525963437 To 1525963467,87.07,507,35,
From 1525963467 To 1525963497,84.2,400,36,
From 1525963497 To 1525963527,88.1,299,42,
From 1525963527 To 1525963557,82.37,309,39,
From 1525963557 To 1525963587,89.5,394,29,
From 1525963587 To 1525963617,84.7,445,19,
From 1525963617 To 1525963647,87.53,396,38,
From 1525963647 To 1525963677,94.67,414,26,
From 1525963677 To 1525963707,91.63,338,33,
From 1525963707 To 1525963737,86.83,370,40,
From 1525963737 To 1525963767,84.6,400,32,
From 1525963767 To 1525963797,93.3,322,26,
From 1525963798 To 1525963828,81.17,412,37,
From 1525963828 To 1525963858,89.27,450,44,
From 1525963858 To 1525963888,82.87,397,30,
From 1525963888 To 1525963918,92.27,351,32,
From 1525963918 To 1525963948,81.1,349,37,
From 1525963948 To 1525963978,88.83,462,32,
From 1525963978 To 1525964008,88.8,411,32,
From 1525964008 To 1525964038,93.6,352,27,
From 1525964038 To 1525964068,95.4,302,30,
