Period, CPUAvg, person,concept,obs,encounter,
From 103325 To 103355,99.73,1142,33,30,38,
From 103395 To 103425,91.9,1183,19,29,38,
From 103425 To 103455,85.57,1129,35,30,47,
From 103495 To 103525,87.3,1194,38,34,35,
From 103526 To 103556,88.43,1187,36,32,31,
From 103596 To 103626,89.87,1145,34,35,30,
From 103626 To 103656,85.2,1099,34,31,34,
From 103696 To 103726,81.33,1062,34,22,42,
From 103726 To 103756,86.13,1123,29,34,33,
From 103796 To 103826,89.0,1140,22,32,33,
From 103826 To 103856,86.23,1107,27,31,33,
From 103896 To 103926,81.4,1102,32,34,34,
From 103926 To 103956,82.47,1036,32,22,33,
From 103996 To 104026,93.93,1208,37,32,32,
From 104026 To 104056,87.8,1129,24,40,33,
From 104096 To 104126,88.4,1140,35,37,31,
From 104126 To 104156,87.73,1147,25,29,41,
From 104196 To 104226,94.4,1188,36,28,27,
From 104226 To 104256,88.53,1137,30,31,31,
From 104297 To 104327,84.03,1195,34,39,36,
From 104327 To 104357,87.33,1090,42,26,27,
From 104397 To 104427,87.07,1167,35,45,34,
From 104427 To 104457,84.2,1096,36,36,28,
From 104497 To 104527,88.1,1152,42,29,26,
From 104527 To 104557,82.37,1077,39,31,34,
From 104597 To 104627,89.5,1183,29,35,39,
From 104627 To 104657,84.7,1090,19,37,31,
From 104697 To 104727,87.53,1126,38,32,20,
From 104727 To 104757,94.67,1161,26,35,36,
From 104797 To 104827,91.63,1163,32,30,33,
From 104827 To 104857,86.83,1145,41,31,31,
From 104897 To 104927,84.6,1127,32,37,31,
From 104927 To 104957,93.3,1169,26,29,34,
From 104998 To 105028,81.17,1071,37,34,26,
From 105028 To 105058,89.27,1210,44,37,37,
From 105098 To 105128,82.87,1033,30,36,16,
From 105128 To 105158,92.27,1172,32,31,36,
From 105198 To 105228,81.1,1067,37,31,31,
From 105228 To 105258,88.83,1126,32,38,30,
From 105298 To 105328,88.8,1184,32,39,35,
From 105328 To 105358,93.6,1180,27,32,29,
From 105398 To 105428,95.4,1211,30,26,33,
From 105428 To 105458,89.17,1166,35,38,27,
From 105498 To 105528,84.57,1099,36,36,28,
From 105528 To 105558,86.6,1036,24,28,29,
From 105598 To 105628,91.4,1199,36,35,24,
From 105629 To 105659,86.13,1109,35,32,30,
From 105699 To 105729,84.97,1096,40,32,27,
From 105729 To 105759,84.13,1076,22,35,31,
From 105799 To 105829,87.93,1153,29,46,28,
From 105829 To 105859,86.83,1157,30,35,36,
From 105899 To 105929,89.43,1158,31,32,42,
From 105929 To 105959,96.0,1228,32,32,37,
From 109999 To 110029,88.47,1132,36,33,22,
From 110029 To 110059,90.2,1125,29,36,30,
From 110099 To 110129,90.4,1155,32,26,27,
From 110129 To 110159,90.37,1171,40,40,31,
From 110199 To 110229,85.83,1149,39,38,22,
From 110229 To 110259,88.0,1162,35,38,27,
From 110300 To 110330,87.6,1066,26,24,32,
From 110370 To 110400,85.33,1078,29,31,28,
From 110400 To 110430,83.43,1026,30,26,24,
From 110470 To 110500,85.63,1124,25,31,45,
From 110500 To 110530,91.2,1181,34,33,36,
From 110570 To 110600,88.83,1133,39,24,34,
From 110600 To 110630,84.27,1124,34,35,32,
From 110670 To 110700,86.07,1113,24,29,46,
From 110700 To 110730,87.3,1116,35,33,40,
From 110770 To 110800,86.3,1097,35,30,30,
From 110800 To 110830,87.53,1140,29,45,33,
From 110870 To 110900,86.57,1096,35,29,26,
From 110901 To 110931,88.67,1183,36,29,41,
From 110971 To 111001,86.7,1119,36,31,27,
From 111001 To 111031,84.6,1129,44,33,31,
From 111071 To 111101,84.97,1075,33,26,32,
From 111101 To 111131,86.13,1109,32,28,41,
From 111171 To 111201,86.9,1136,27,32,36,
From 111201 To 111231,90.87,1154,34,36,27,
From 111271 To 111301,86.13,1140,30,25,44,
From 111301 To 111331,76.53,986,36,30,24,
From 111371 To 111401,89.33,1175,37,39,31,
From 111401 To 111431,88.8,1174,39,32,34,
From 111471 To 111501,93.13,1180,38,32,32,
From 111502 To 111532,84.3,1077,37,27,31,
From 111572 To 111602,87.37,1126,28,40,34,
From 111602 To 111632,86.4,1087,32,31,24,
From 111672 To 111702,85.6,1123,22,38,42,
From 111702 To 111732,91.07,1123,35,27,23,
From 111772 To 111802,92.53,1188,32,29,40,
From 111802 To 111832,72.4,982,25,33,33,
From 111872 To 111902,91.37,1135,26,33,33,
From 111902 To 111932,93.53,1158,37,31,34,
From 111972 To 112002,83.47,1097,24,43,29,
From 112002 To 112032,84.27,1107,34,39,36,
From 112072 To 112102,84.33,1059,36,20,31,
From 112103 To 112133,86.5,1155,29,38,32,
From 112173 To 112203,75.9,957,28,25,29,
From 112203 To 112233,90.07,1163,32,31,27,
From 112273 To 112303,87.57,1089,43,27,21,
From 112303 To 112333,94.8,1178,38,27,28,
From 112373 To 112403,87.77,1128,36,39,30,
From 112403 To 112433,90.57,1179,33,33,37,
From 112473 To 112503,81.0,1061,27,43,32,
From 112503 To 112533,87.07,1102,24,37,36,
From 112573 To 112603,82.7,1066,37,26,35,
From 112603 To 112633,83.1,1095,26,27,36,
From 112674 To 112704,93.6,1179,37,24,39,
From 112704 To 112734,87.13,1118,35,22,32,
From 112774 To 112804,91.6,1137,33,28,29,
From 112804 To 112834,81.63,1052,27,31,39,
From 112874 To 112904,94.07,1148,31,34,26,
From 112904 To 112934,87.17,1095,36,29,31,
From 112974 To 113004,81.57,1091,36,37,34,
From 113004 To 113034,77.2,1012,44,20,24,
From 113074 To 113104,91.03,1098,35,35,24,
From 113104 To 113134,82.0,1061,42,26,42,
From 113174 To 113204,84.93,1091,29,29,25,
From 113205 To 113235,85.73,1173,42,37,40,
From 113275 To 113305,86.97,1081,39,20,28,
From 113305 To 113335,92.5,1169,41,26,33,
From 113375 To 113405,82.87,1070,28,27,29,
From 113405 To 113435,91.5,1153,32,35,28,
From 113475 To 113505,90.83,1106,31,31,31,
From 113505 To 113535,87.47,1095,29,27,33,
From 113575 To 113605,79.03,1033,29,35,27,
From 113605 To 113635,88.43,1093,18,36,33,
From 113675 To 113705,85.63,1085,29,26,41,
From 113706 To 113736,89.87,1175,33,28,37,
From 113776 To 113806,85.2,1091,31,26,28,
From 113806 To 113836,87.0,1107,32,24,32,
From 113876 To 113906,88.83,1121,37,33,33,
From 113906 To 113936,85.3,1088,27,34,31,
From 113976 To 114006,84.23,1124,38,32,45,
From 114006 To 114036,77.17,1002,26,37,26,
From 114076 To 114106,93.1,1143,28,34,34,
From 114106 To 114136,88.7,1112,27,31,38,
From 114176 To 114206,83.2,1102,35,30,34,
From 114206 To 114236,89.13,1108,34,23,34,
From 114277 To 114307,83.57,1079,29,38,26,
From 114307 To 114337,90.57,1165,37,32,32,
From 114377 To 114407,80.6,1051,30,36,40,
From 114407 To 114437,89.57,1172,41,26,35,
From 114477 To 114507,90.37,1114,26,28,34,
From 114507 To 114537,86.43,1084,32,29,28,
From 114577 To 114607,76.83,1004,27,32,34,
From 114607 To 114637,88.77,1125,37,34,29,
From 114677 To 114707,87.63,1071,33,30,28,
From 114707 To 114737,84.43,1071,29,27,32,
From 114778 To 114808,90.47,1158,36,35,26,
From 114808 To 114838,82.8,1082,25,36,32,
From 114878 To 114908,89.1,1125,27,36,37,
From 114908 To 114938,94.03,1170,26,27,37,
From 114978 To 115008,85.97,1113,38,30,29,
From 115008 To 115038,86.1,1074,41,25,26,
From 115078 To 115108,87.67,1124,29,28,44,
From 115108 To 115138,83.77,1011,26,21,33,
From 115178 To 115208,87.9,1103,30,27,33,
From 115208 To 115238,89.83,1122,35,25,29,
From 115278 To 115308,86.4,1085,28,33,35,
From 115309 To 115339,86.57,1136,29,42,33,
From 115379 To 115409,83.97,1085,27,27,31,
From 115409 To 115439,83.23,1059,28,35,37,
From 115479 To 115509,86.47,1068,30,35,31,
From 115509 To 115539,90.4,1143,32,30,33,
From 115579 To 115609,76.4,973,36,23,39,
From 115609 To 115639,85.47,1068,33,26,28,
From 115679 To 115709,85.43,1094,36,31,30,
From 115709 To 115739,93.23,1161,40,28,31,
From 115779 To 115809,85.6,1124,33,34,30,
From 115810 To 115840,87.1,1119,31,33,28,
From 115880 To 115910,88.27,1098,33,35,33,
From 115910 To 115940,88.4,1127,36,31,34,
From 119980 To 120010,85.7,1066,36,35,24,
From 120010 To 120040,84.5,1085,23,31,38,
From 120080 To 120110,82.1,1024,25,38,34,
From 120110 To 120140,85.2,1060,31,27,26,
From 120180 To 120210,84.73,1121,32,39,35,
From 120210 To 120240,83.43,1034,34,26,32,
From 120281 To 120311,90.53,1133,30,30,35,
From 120311 To 120341,90.6,1125,32,31,26,
From 120381 To 120411,84.87,1042,42,24,25,
From 120411 To 120441,94.2,1159,27,28,27,
From 120481 To 120511,80.87,1020,30,24,34,
From 120511 To 120541,90.83,1133,32,28,36,
From 120581 To 120611,83.47,1107,33,30,36,
From 120611 To 120641,91.67,1101,27,29,28,
From 120681 To 120711,90.0,1097,33,35,29,
From 120711 To 120741,93.87,1147,29,25,34,
From 120782 To 120812,85.43,1131,31,45,30,
From 120812 To 120842,88.57,1106,37,34,19,
From 120882 To 120912,88.27,1122,27,34,38,
From 120912 To 120942,79.37,1021,30,32,33,
From 120982 To 121012,86.07,1115,43,32,26,
From 121012 To 121042,83.13,1023,34,26,24,
From 121082 To 121112,90.77,1121,31,32,33,
From 121112 To 121142,86.1,1092,36,30,32,
From 121182 To 121212,88.33,1118,35,29,33,
From 121212 To 121242,90.87,1133,23,29,33,
From 121283 To 121313,88.03,1140,29,39,33,
From 121313 To 121343,82.97,1058,30,36,37,
From 121383 To 121413,82.57,1053,32,30,28,
From 121413 To 121443,89.6,1096,25,37,34,
From 121483 To 121513,89.6,1109,40,27,31,
From 121513 To 121543,86.5,1069,27,26,35,
From 121583 To 121613,83.2,1018,28,31,26,
From 121613 To 121643,90.57,1140,31,33,28,
From 121683 To 121713,86.83,1099,31,34,28,
From 121713 To 121743,88.83,1093,34,38,24,
From 121784 To 121814,85.87,1140,36,29,34,
From 121814 To 121844,87.8,1098,29,23,39,
From 121884 To 121914,92.2,1094,38,31,29,
From 121914 To 121944,82.9,1013,32,20,23,
From 121984 To 122014,85.43,1058,28,37,25,
From 122014 To 122044,81.97,1029,40,23,31,
From 122084 To 122114,90.2,1122,34,30,25,
From 122114 To 122144,84.43,989,15,23,28,
From 122184 To 122214,88.33,1142,31,37,35,
From 122215 To 122245,81.9,1044,26,28,28,
From 122285 To 122315,93.83,1114,32,27,33,
From 122315 To 122345,89.4,1116,30,32,26,
From 122385 To 122415,79.43,981,30,27,26,
From 122415 To 122445,86.7,1137,33,39,43,
From 122485 To 122515,88.13,1083,26,24,40,
From 122515 To 122545,89.43,1076,33,26,22,
From 122585 To 122615,82.57,1031,28,21,31,
From 122615 To 122645,91.17,1129,18,31,38,
From 122685 To 122715,87.33,1053,39,31,25,
From 122716 To 122746,85.67,1091,27,32,29,
