Period, CPUAvg, person,obs,encounter,concept,
From 182428 To 182458,61.87,309,10,5,5,
From 182498 To 182528,56.83,302,7,10,10,
From 182528 To 182558,66.17,324,7,8,8,
From 182598 To 182628,55.27,273,6,10,5,
From 182628 To 182658,60.4,305,10,13,5,
From 182698 To 182728,64.77,313,11,11,4,
From 182728 To 182758,54.97,274,5,9,7,
From 182798 To 182828,64.53,338,5,12,13,
From 182828 To 182858,58.83,302,9,6,8,
From 182898 To 182928,54.87,280,6,7,11,
From 182928 To 182958,63.2,314,10,7,12,
From 182998 To 183028,62.13,335,12,7,9,
From 183028 To 183058,54.47,234,5,8,6,
From 183098 To 183128,77.63,390,8,8,7,
From 183129 To 183159,46.43,279,9,11,12,
From 183199 To 183229,62.2,302,6,13,6,
From 183229 To 183259,67.5,314,8,15,11,
From 183299 To 183329,58.5,290,10,3,8,
From 183329 To 183359,64.2,299,6,9,10,
From 183399 To 183429,53.8,301,8,6,14,
From 183429 To 183459,51.47,271,8,6,13,
From 183499 To 183529,58.03,316,11,8,8,
From 183529 To 183559,62.57,321,9,13,7,
From 183599 To 183629,57.57,295,13,3,6,
From 183629 To 183659,56.93,286,10,5,12,
From 183699 To 183729,51.43,301,11,5,9,
From 183729 To 183759,56.2,297,7,10,10,
From 183799 To 183829,51.77,275,13,6,9,
From 183829 To 183859,56.57,301,9,10,11,
From 183899 To 183929,44.57,248,8,8,10,
From 183929 To 183959,64.8,350,13,8,11,
From 183999 To 184029,52.2,260,2,13,9,
From 184029 To 184059,56.87,288,9,8,7,
From 184100 To 184130,63.1,310,9,9,10,
From 184170 To 184200,58.67,297,6,8,12,
From 184200 To 184230,56.4,319,10,13,8,
From 184270 To 184300,59.7,305,5,9,9,
From 184300 To 184330,56.3,326,12,12,8,
From 184370 To 184400,52.73,292,7,7,14,
From 184400 To 184430,60.4,288,8,7,8,
From 184470 To 184500,57.27,301,10,12,9,
From 184500 To 184530,53.07,277,8,10,9,
From 184570 To 184600,60.47,322,7,7,14,
From 184600 To 184630,66.63,272,4,6,4,
From 184670 To 184700,60.7,278,10,4,10,
From 184700 To 184730,68.57,354,8,6,14,
From 184770 To 184800,59.43,299,10,7,6,
From 184800 To 184830,50.6,287,11,13,8,
From 184870 To 184900,61.27,308,7,11,6,
From 184900 To 184930,67.67,338,7,8,5,
From 184970 To 185000,54.83,288,12,6,11,
From 185001 To 185031,55.67,317,7,10,14,
