Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528473484 to 1528473513,108.67,280,1537,24165,889965,138,232,1537,70
From 1528473514 to 1528473544,104.73,394,1544,26442,972473,143,238,1544,53
From 1528473545 to 1528473574,107.13,298,1322,30089,1115794,150,246,1322,82
From 1528473575 to 1528473604,106.7,230,1095,29923,1102835,148,242,1095,56
From 1528473605 to 1528473634,110.43,246,947,24391,909770,120,196,947,57
From 1528473635 to 1528473664,142.97,95,815,30482,1103033,131,206,815,59
From 1528473665 to 1528473694,102.5,337,976,25177,920685,150,254,976,99
From 1528473695 to 1528473724,106.8,264,1351,24021,834980,135,228,1351,90
From 1528473725 to 1528473754,120.37,330,1071,28311,1026314,144,236,1071,63
From 1528473755 to 1528473784,98.67,309,802,17232,632388,125,218,802,93
From 1528473785 to 1528473814,102.03,329,817,21116,791283,137,236,817,108
From 1528473815 to 1528473845,101.77,224,1337,27682,1021741,147,244,1337,88
From 1528473846 to 1528473875,101.93,260,1637,21561,782199,138,236,1637,81
From 1528473876 to 1528473905,103.4,355,1157,23219,863490,128,214,1157,49
From 1528473906 to 1528473935,116.67,275,1040,37718,1379786,175,282,1040,70
From 1528473936 to 1528473965,95.3,292,985,22121,823384,122,204,985,56
From 1528473966 to 1528473995,98.67,332,1363,22068,819838,129,218,1363,71
From 1528473996 to 1528474025,101.73,330,1002,20615,756121,120,202,1002,26
From 1528474026 to 1528474055,106.63,177,1486,32633,1177660,150,240,1486,71
From 1528474056 to 1528474086,102.97,317,1414,26194,954447,155,262,1414,83
From 1528474087 to 1528474116,104.9,214,1094,25194,923955,135,224,1094,75
From 1528474117 to 1528474146,101.77,404,1392,19730,731837,135,234,1392,104
From 1528474147 to 1528474176,100.47,268,1028,25334,934236,135,224,1028,71
From 1528474177 to 1528474206,102.3,265,1374,22702,824138,135,228,1374,99
From 1528474207 to 1528474236,101.63,324,1139,24258,897495,139,234,1139,72
From 1528474237 to 1528474266,104.3,275,1280,25847,971784,140,234,1280,66
