Period, CPUAvg, person,encounter,concept,obs,
From 115804 To 115834,108.67,809,23,27,25,
From 115875 To 115905,104.73,860,16,27,29,
From 115905 To 115935,107.13,841,26,26,23,
From 119975 To 120005,106.7,843,18,22,21,
From 120005 To 120035,110.43,683,18,20,22,
From 120075 To 120105,142.97,673,20,20,9,
From 120105 To 120135,102.5,872,31,20,29,
From 120175 To 120205,106.8,840,27,26,23,
From 120205 To 120235,120.37,773,20,20,29,
From 120275 To 120305,98.67,873,32,17,28,
From 120305 To 120335,102.03,828,32,18,29,
From 120376 To 120406,101.77,814,30,28,19,
From 120406 To 120436,101.93,854,27,30,24,
From 120476 To 120506,103.4,845,17,23,27,
From 120506 To 120536,116.67,825,27,20,27,
From 120576 To 120606,95.3,734,18,20,26,
From 120606 To 120636,98.67,722,21,24,30,
From 120676 To 120706,101.73,790,10,20,28,
From 120706 To 120736,106.63,802,22,27,17,
From 120777 To 120807,102.97,856,28,25,31,
From 120807 To 120837,104.9,824,25,21,20,
From 120877 To 120907,101.77,850,35,21,33,
From 120907 To 120937,100.47,776,21,21,20,
From 120977 To 121007,102.3,858,29,25,21,
From 121007 To 121037,101.63,849,22,26,28,
From 121077 To 121107,104.3,800,21,27,25,
From 121107 To 121137,103.33,754,20,20,23,
From 121177 To 121207,98.8,763,20,26,25,
From 121208 To 121238,99.77,834,23,19,25,
From 121278 To 121308,101.73,804,25,27,20,
From 121308 To 121338,102.93,795,16,23,22,
From 121378 To 121408,103.33,824,23,18,23,
From 121408 To 121438,102.97,802,22,25,23,
From 121478 To 121508,105.53,782,22,21,23,
From 121508 To 121538,101.3,836,31,21,23,
From 121578 To 121608,101.53,822,28,19,34,
From 121608 To 121638,102.73,802,21,24,24,
From 121679 To 121709,101.93,802,21,21,22,
From 121709 To 121739,91.47,657,20,21,18,
From 121779 To 121809,105.67,808,21,25,22,
From 121809 To 121839,102.1,860,33,24,19,
From 121879 To 121909,105.73,767,22,14,25,
From 121909 To 121939,127.13,789,24,19,17,
From 121979 To 122009,104.6,848,34,24,23,
From 122009 To 122039,101.93,770,23,21,22,
From 122080 To 122110,104.63,862,20,30,22,
From 122110 To 122140,107.6,705,21,21,19,
From 122180 To 122210,122.37,699,17,26,12,
From 122210 To 122240,108.53,718,18,14,19,
From 122280 To 122310,99.57,763,18,25,23,
From 122310 To 122340,106.8,793,20,25,25,
From 122380 To 122410,108.17,781,11,24,24,
From 122411 To 122441,104.2,844,21,25,28,
From 122481 To 122511,100.17,810,29,23,19,
From 122511 To 122541,102.0,816,24,25,18,
From 122581 To 122611,103.27,774,22,19,26,
From 122611 To 122641,107.4,847,37,21,14,
From 122681 To 122711,106.77,874,26,28,28,
From 122711 To 122741,103.17,809,21,26,25,
From 122781 To 122811,103.17,749,22,15,18,
From 122812 To 122842,112.6,755,16,19,21,
From 122882 To 122912,105.1,804,16,18,23,
From 122912 To 122942,104.6,836,18,27,23,
From 122982 To 123012,105.27,783,23,23,17,
From 123012 To 123042,107.4,840,25,24,24,
From 123082 To 123112,97.47,750,22,20,21,
From 123112 To 123142,105.1,810,27,21,22,
From 123183 To 123213,110.9,860,20,23,24,
From 123213 To 123243,122.97,809,22,25,26,
From 123283 To 123313,103.0,802,18,22,22,
From 123313 To 123343,100.17,746,16,15,22,
From 123383 To 123413,82.53,557,20,19,14,
From 123413 To 123443,49.7,338,8,11,9,
From 123483 To 123513,56.1,398,9,8,19,
From 123514 To 123544,46.07,330,10,6,4,
From 123584 To 123614,53.87,411,13,13,7,
From 123614 To 123644,87.7,659,18,21,22,
From 123684 To 123714,98.7,827,17,28,19,
From 123714 To 123744,107.33,811,25,25,18,
From 123784 To 123814,95.87,748,25,20,21,
From 123814 To 123844,107.4,783,22,21,30,
From 123885 To 123915,102.57,836,21,23,20,
From 123915 To 123945,92.33,769,25,24,22,
From 123985 To 124015,86.23,668,28,10,25,
From 124015 To 124045,79.53,576,22,18,15,
From 124085 To 124115,99.73,786,17,24,15,
From 124115 To 124145,105.77,818,26,30,26,
From 124185 To 124215,92.67,632,13,17,23,
From 124216 To 124246,74.13,536,11,26,15,
From 124286 To 124316,63.13,431,12,16,16,
From 124316 To 124346,65.1,440,15,8,18,
From 124386 To 124416,79.4,527,15,11,17,
From 124416 To 124446,68.77,535,12,21,11,
From 124486 To 124516,103.9,797,18,27,22,
From 124516 To 124546,103.37,870,26,28,21,
From 124587 To 124617,103.9,854,27,26,25,
From 124617 To 124647,108.33,779,27,21,19,
From 124687 To 124717,100.13,745,24,20,22,
From 124717 To 124747,88.27,776,24,19,31,
From 124787 To 124817,98.27,811,24,23,24,
From 124817 To 124847,90.67,760,20,24,19,
From 124888 To 124918,98.73,828,24,23,25,
From 124918 To 124948,102.0,851,22,25,22,
From 124988 To 125018,103.17,789,23,17,21,
From 125018 To 125048,101.17,767,22,20,28,
From 125088 To 125118,110.93,815,19,19,22,
From 125118 To 125148,97.57,791,27,17,27,
From 125188 To 125218,101.4,788,23,24,18,
From 125219 To 125249,80.27,546,14,16,22,
From 125289 To 125319,57.37,357,5,17,7,
From 125319 To 125349,53.97,379,11,12,8,
From 125389 To 125419,47.23,348,8,12,12,
From 125419 To 125449,57.03,431,6,15,12,
From 125489 To 125519,94.77,716,20,17,15,
From 125519 To 125549,101.8,842,27,21,21,
From 125589 To 125619,94.43,777,28,21,27,
From 125620 To 125650,104.97,827,23,27,19,
From 125690 To 125720,107.17,782,22,19,27,
From 125720 To 125750,98.13,790,21,18,21,
From 125790 To 125820,94.97,731,25,21,23,
From 125820 To 125850,80.83,706,15,26,25,
From 125890 To 125920,89.17,645,20,19,12,
From 125920 To 125950,98.33,801,25,26,25,
From 129991 To 130021,101.03,791,16,31,23,
From 130021 To 130051,102.5,842,28,26,24,
From 130091 To 130121,93.37,750,18,22,29,
From 130121 To 130151,103.73,842,29,21,26,
From 130191 To 130221,103.07,744,20,24,16,
From 130221 To 130251,105.37,855,26,21,26,
From 130292 To 130322,101.77,785,16,20,23,
From 130322 To 130352,108.5,783,22,18,18,
From 130392 To 130422,102.73,829,30,24,13,
From 130422 To 130452,106.57,761,23,18,23,
From 130492 To 130522,103.93,769,22,14,20,
From 130522 To 130552,100.17,761,21,18,26,
From 130592 To 130622,100.7,817,28,24,21,
From 130623 To 130653,100.93,854,25,23,28,
From 130693 To 130723,103.53,763,24,20,12,
From 130723 To 130753,103.83,815,20,25,21,
From 130793 To 130823,105.07,813,22,25,26,
From 130823 To 130853,100.03,794,27,19,29,
From 130893 To 130923,88.97,589,15,16,22,
From 130923 To 130953,65.97,422,8,15,11,
From 130994 To 131024,38.87,226,8,3,7,
From 131024 To 131054,55.0,341,8,6,9,
From 131094 To 131124,42.97,279,9,9,7,
From 131124 To 131154,53.43,318,8,12,7,
From 131194 To 131224,29.77,145,3,6,7,
From 131224 To 131254,35.8,168,2,6,4,
From 131295 To 131325,73.77,561,15,11,19,
From 131325 To 131355,104.7,777,17,25,25,
From 131395 To 131425,103.4,782,20,25,11,
From 131425 To 131455,100.53,825,27,31,25,
From 131495 To 131525,100.9,806,20,21,31,
From 131525 To 131555,100.67,811,24,20,23,
From 131595 To 131625,93.87,715,14,18,28,
From 131625 To 131655,87.23,660,21,20,16,
From 131696 To 131726,88.03,784,29,25,20,
From 131726 To 131756,84.67,718,21,17,27,
From 131796 To 131826,79.9,663,22,19,23,
From 131826 To 131856,102.17,782,21,22,18,
From 131896 To 131926,104.97,778,23,18,30,
From 131926 To 131956,108.23,808,30,22,16,
From 131996 To 132026,101.7,838,27,27,28,
From 132027 To 132057,102.97,763,23,13,24,
From 132097 To 132127,98.2,859,24,30,27,
From 132127 To 132157,105.73,787,26,23,17,
From 132197 To 132227,101.53,790,18,26,17,
From 132227 To 132257,105.6,784,26,23,20,
From 132297 To 132327,101.67,828,28,27,25,
From 132327 To 132357,101.0,848,35,15,19,
From 132398 To 132428,105.23,778,22,23,22,
From 132428 To 132458,107.73,689,20,16,12,
From 132498 To 132528,107.37,823,18,34,15,
From 132528 To 132558,104.37,799,20,24,20,
From 132598 To 132628,106.3,756,20,20,14,
From 132628 To 132658,104.03,855,24,27,29,
From 132698 To 132728,101.87,817,26,26,21,
From 132729 To 132759,102.33,779,24,19,30,
From 132799 To 132829,53.33,389,17,10,9,
From 132829 To 132859,55.03,408,12,11,11,
From 132899 To 132929,48.23,362,8,13,9,
From 132929 To 132959,67.63,557,11,17,13,
From 132999 To 133029,105.03,815,32,23,21,
From 133029 To 133059,101.87,781,26,23,20,
From 133100 To 133130,100.63,783,24,23,28,
From 133170 To 133200,105.93,786,24,21,11,
From 133200 To 133230,104.57,805,23,23,19,
From 133270 To 133300,102.87,793,20,20,24,
From 133300 To 133330,87.87,669,31,16,15,
From 133370 To 133400,60.37,330,14,2,11,
From 133400 To 133430,73.83,452,7,13,13,
From 133471 To 133501,71.17,508,15,17,13,
From 133501 To 133531,68.77,467,17,14,9,
From 133571 To 133601,82.93,643,18,26,13,
From 133601 To 133631,101.23,780,23,20,29,
From 133671 To 133701,106.7,862,17,31,20,
From 133701 To 133731,109.43,784,27,23,15,
From 133771 To 133801,104.57,709,19,13,20,
From 133802 To 133832,103.27,840,19,27,29,
From 133872 To 133902,91.23,712,19,16,24,
From 133902 To 133932,93.03,717,22,16,27,
From 133972 To 134002,95.07,797,20,31,21,
From 134002 To 134032,101.67,790,23,23,27,
From 134072 To 134102,104.47,831,27,25,21,
From 134102 To 134132,102.23,819,35,25,18,
From 134173 To 134203,109.03,864,23,34,17,
From 134203 To 134233,106.27,815,23,19,22,
From 134273 To 134303,105.27,783,17,27,12,
From 134303 To 134333,105.63,746,19,13,29,
From 134373 To 134403,109.8,814,24,24,19,
From 134403 To 134433,104.7,777,22,14,17,
From 134473 To 134503,98.93,832,27,26,23,
From 134504 To 134534,91.87,728,27,23,21,
From 134574 To 134604,66.67,415,12,5,12,
From 134604 To 134634,88.4,655,13,14,20,
From 134674 To 134704,95.0,749,23,18,26,
From 134704 To 134734,106.9,762,24,14,21,
From 134774 To 134804,110.53,845,19,28,21,
From 134804 To 134834,98.97,790,20,20,19,
From 134875 To 134905,106.03,788,24,19,29,
From 134905 To 134935,99.9,764,18,32,18,
From 134975 To 135005,92.07,723,21,21,27,
From 135005 To 135035,96.1,748,24,21,16,
From 135075 To 135105,100.43,804,25,24,26,
From 135105 To 135135,105.57,840,25,26,26,
From 135175 To 135205,108.1,791,30,17,22,
From 135206 To 135236,97.27,650,16,19,19,
From 135276 To 135306,93.73,593,16,18,18,
From 135306 To 135336,99.77,653,17,14,30,
From 135376 To 135406,97.83,842,25,25,25,
From 135406 To 135436,105.93,820,20,22,18,
From 135476 To 135506,98.8,775,25,26,23,
From 135506 To 135536,107.17,758,27,21,23,
From 135577 To 135607,102.33,834,15,24,33,
From 135607 To 135637,97.0,768,32,21,16,
From 135677 To 135707,89.73,700,17,24,25,
From 135707 To 135737,103.53,770,21,21,13,
From 135777 To 135807,109.0,794,15,25,14,
From 135807 To 135837,107.03,828,16,26,30,
From 135877 To 135907,104.83,804,12,16,30,
From 135908 To 135938,108.13,904,23,30,25,
From 139978 To 140008,109.3,795,19,24,22,
From 140008 To 140038,103.4,769,22,18,25,
From 140078 To 140108,99.87,733,23,20,23,
From 140108 To 140138,98.47,822,21,29,21,
From 140178 To 140208,89.13,605,13,17,18,
From 140208 To 140238,86.53,620,14,18,14,
From 140279 To 140309,105.5,856,23,30,21,
From 140309 To 140339,99.37,780,29,24,26,
From 140379 To 140409,99.47,779,16,18,21,
From 140409 To 140439,100.73,739,21,17,20,
From 140479 To 140509,105.73,828,29,32,23,
From 140509 To 140539,93.97,746,18,24,17,
From 140579 To 140609,101.1,772,15,15,23,
From 140610 To 140640,91.03,746,25,29,19,
From 140680 To 140710,102.13,755,29,18,26,
From 140710 To 140740,101.2,817,19,30,18,
From 140780 To 140810,111.37,825,22,25,35,
From 140810 To 140840,102.7,796,26,23,27,
From 140880 To 140910,103.97,866,30,24,22,
From 140910 To 140940,101.93,796,27,24,26,
From 140981 To 141011,103.3,767,26,16,26,
From 141011 To 141041,109.6,867,20,35,21,
From 141081 To 141111,105.27,766,25,16,23,
From 141111 To 141141,108.17,817,22,25,16,
From 141181 To 141211,102.53,727,21,20,25,
From 141211 To 141241,102.13,792,21,25,26,
From 141282 To 141312,108.8,835,16,23,24,
From 141312 To 141342,103.3,785,17,24,25,
From 141382 To 141412,105.87,766,21,20,21,
From 141412 To 141442,103.47,812,21,21,18,
From 141482 To 141512,102.93,847,28,35,26,
From 141512 To 141542,105.53,688,22,23,16,
From 141582 To 141612,88.2,571,12,17,21,
From 141613 To 141643,80.4,539,20,12,13,
From 141683 To 141713,86.13,597,24,10,17,
From 141713 To 141743,95.47,726,24,24,19,
From 141783 To 141813,101.8,731,18,17,21,
From 141813 To 141843,95.93,654,33,13,23,
From 141883 To 141913,78.7,529,15,8,18,
From 141913 To 141943,96.33,778,24,19,25,
From 141984 To 142014,101.57,845,32,27,21,
From 142014 To 142044,104.8,809,25,35,13,
From 142084 To 142114,92.33,757,30,24,19,
From 142114 To 142144,93.2,655,11,25,15,
From 142184 To 142214,92.17,758,19,22,21,
From 142214 To 142244,102.37,831,28,13,28,
From 142285 To 142315,97.3,738,21,20,26,
From 142315 To 142345,80.83,681,27,22,18,
From 142385 To 142415,85.63,654,18,15,20,
From 142415 To 142445,87.97,609,18,12,22,
From 142485 To 142515,104.6,816,27,17,22,
From 142515 To 142545,104.0,788,16,23,31,
From 142585 To 142615,103.67,797,24,17,26,
From 142616 To 142646,96.73,692,17,25,23,
From 142686 To 142716,98.73,805,22,25,18,
From 142716 To 142746,101.77,787,22,23,21,
From 142786 To 142816,95.6,803,24,25,29,
From 142816 To 142846,109.47,824,20,21,29,
From 142886 To 142916,99.83,736,24,17,15,
From 142917 To 142947,96.0,664,15,21,19,
From 142987 To 143017,100.47,769,24,25,24,
From 143017 To 143047,97.17,735,18,27,18,
From 143087 To 143117,100.77,789,19,13,28,
From 143117 To 143147,79.57,548,17,18,14,
From 143187 To 143217,87.37,717,23,20,21,
From 143218 To 143248,96.9,815,28,26,22,
From 143288 To 143318,102.6,771,17,16,28,
From 143318 To 143348,98.73,743,23,16,17,
From 143388 To 143418,100.5,721,17,26,20,
From 143418 To 143448,95.9,717,21,22,16,
From 143488 To 143518,73.47,606,19,19,20,
From 143519 To 143549,63.7,423,11,13,9,
From 143589 To 143619,66.17,467,13,10,13,
From 143619 To 143649,89.83,711,18,24,21,
From 143689 To 143719,95.73,725,23,21,16,
From 143719 To 143749,90.53,674,25,18,15,
From 143789 To 143819,78.7,509,16,11,19,
From 143820 To 143850,60.73,377,9,15,9,
From 143890 To 143920,59.83,410,13,11,8,
From 143920 To 143950,66.63,439,14,11,10,
From 143991 To 144021,66.13,476,13,9,19,
From 144021 To 144051,67.43,527,13,19,10,
From 144091 To 144121,100.5,767,19,21,29,
From 144121 To 144151,104.23,755,14,20,25,
From 144191 To 144221,85.17,693,21,17,20,
From 144221 To 144251,79.37,658,19,20,12,
