Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528429173 to 1528429203,153.2,8716,69,7022,69,219092,28909,28909,28909,5835,1297,2045,121272,28909,211515,4817,69,84,69,0,4175676,28909,6901,211515,1140,5,2045,2045,4358,8513,28909,91565,2045,207,4358,8,3879709,2045,4116458,91565,28909,111419,113464,2045,608,28909,134,5835,2045,7931,474,2045,69,69,268,608,93,28909,209470,138,3565,69,4358,1140,2045,76,69,8716,2045,2045,97,96950,1,2045,1305,2045,2045,28909,51125,2045,219092,28909,51125,1035742,2045,34864,31790,148031,1140,28909,2432,138,2045,2045,28909,782,4985,4090,2045,96950,28909,111419,54845,756,64488,209470,2045,2972,69,3471,34864,6848,28909,69,84,69,4358,782,28909,12003,28909,15670,4985,69,111419,1913,12289,69,2045,96950,276,771,29973,219092,2045,190,111419,1297,2045,474,69,93,4985,2045,2045,7022,26148,211515
From 1528429204 to 1528429233,114.47,5390,108,5025,108,221314,18154,18154,18154,3537,714,1625,122717,18154,215331,3524,108,136,108,0,4244381,18154,6473,215331,833,5,1625,1625,2695,5738,18154,74529,1625,324,2695,0,3175390,1625,4196339,74529,18154,113840,115465,1625,434,18154,159,3537,1625,5874,356,1625,108,108,182,434,84,18154,213706,216,3286,108,2695,833,1625,58,108,5390,1625,1625,90,79492,1,1625,714,1625,1625,18154,40625,1625,221314,18154,40625,823587,1625,21560,26024,143286,833,18154,1762,216,1625,1625,18154,553,2995,3250,1625,79492,18154,113840,33362,795,39448,213706,1625,2497,108,3259,21560,6440,18154,108,136,108,2695,553,18154,9700,18154,9532,2995,108,113840,1148,8569,108,1625,79492,432,576,18936,221314,1625,207,113840,714,1625,356,108,84,2995,1625,1625,5025,16170,215331
From 1528429234 to 1528429263,133.2,5386,64,4777,64,205600,21615,21615,21615,3587,793,1555,116914,21615,198981,3122,64,100,64,0,3911850,21615,6170,198981,736,5,1555,1555,2693,5721,21615,80081,1555,192,2693,0,3317008,1555,3860059,80081,21615,108088,109643,1555,371,21615,112,3587,1555,5580,326,1555,64,64,173,371,86,21615,197426,128,3316,64,2693,736,1555,48,64,5386,1555,1555,91,84701,1,1555,793,1555,1555,21615,38875,1555,205600,21615,38875,886052,1555,21544,27803,140074,736,21615,1567,128,1555,1555,21615,517,3221,3110,1555,84701,21615,108088,34062,686,40208,197426,1555,2428,64,3117,21544,6108,21615,64,100,64,2693,517,21615,9243,21615,9732,3221,64,108088,1164,8273,64,1555,84701,256,534,22373,205600,1555,190,108088,793,1555,326,64,86,3221,1555,1555,4777,16158,198981
From 1528429264 to 1528429293,120.2,7430,82,6075,82,218826,33329,33329,33329,4979,1207,1296,129091,33329,211966,3560,82,104,82,0,4190493,33329,6881,211966,843,5,1296,1296,3715,6938,33329,85404,1296,246,3715,0,3597579,1296,4135335,85404,33329,119682,120978,1296,458,33329,123,4979,1296,6976,336,1296,82,82,181,458,99,33329,210670,164,3688,82,3715,843,1296,58,82,7430,1296,1296,104,90470,1,1296,1207,1296,1296,33329,32400,1296,218826,33329,32400,945922,1296,29720,29707,153523,843,33329,1769,164,1296,1296,33329,545,4495,2592,1296,90470,33329,119682,47474,750,55728,210670,1296,2270,82,3475,29720,6777,33329,82,104,82,3715,545,33329,11045,33329,13564,4495,82,119682,1665,10691,82,1296,90470,328,564,34111,218826,1296,195,119682,1207,1296,336,82,99,4495,1296,1296,6075,22290,211966
From 1528429294 to 1528429323,137.9,8090,76,6850,76,211256,25843,25843,25842,5303,1068,2698,121846,25842,204798,5405,76,96,76,0,4048669,25842,6791,204798,1275,5,2698,2698,4045,8613,25843,74708,2698,228,4046,0,3372658,2698,4000617,74708,25842,111682,114380,2698,634,25842,162,5303,2698,7751,594,2698,76,76,338,634,90,26665,202100,152,3392,76,4045,1275,2698,82,76,8090,2698,2698,95,80197,1,2698,1068,2698,2698,25843,67450,2698,211256,25842,67450,876213,2698,32361,26158,141571,1275,25842,2794,152,2698,2698,25842,954,4475,5396,2698,80197,25843,111682,49959,755,59096,202100,2698,3614,76,3427,32361,6708,25843,76,96,76,4045,954,25843,11738,25843,14274,4475,76,111682,1702,11796,76,2698,80197,304,909,27872,211256,2698,176,111682,1068,2698,594,76,90,4475,2698,2698,6850,24270,204798
From 1528429324 to 1528429353,118.53,7320,60,5863,60,217252,27104,27104,27105,5007,1249,1255,100043,27105,212386,3203,60,76,60,0,4183441,27105,6172,212386,755,5,1255,1255,3660,6772,27104,65627,1255,180,3659,0,2767887,1255,4141325,65627,27105,91245,92500,1255,407,27105,100,5007,1255,6703,276,1255,60,60,174,407,78,26282,211131,120,3320,60,3660,755,1255,50,60,7320,1255,1255,83,70255,1,1255,1249,1255,1255,27104,31375,1255,217252,27105,31375,679746,1255,29279,23073,116648,755,27105,1540,120,1255,1255,27105,472,4306,2510,1255,70255,27104,91245,47733,692,56048,211131,1255,1999,60,3104,29279,6086,27104,60,76,60,3660,472,27104,10266,27104,13638,4306,60,91245,1656,10363,60,1255,70255,240,555,27003,217252,1255,147,91245,1249,1255,276,60,78,4306,1255,1255,5863,21960,212386
From 1528429354 to 1528429383,138.07,5154,74,4576,74,207336,18069,18069,18069,3417,746,1401,104746,18069,198969,3007,74,88,74,0,3972234,18069,5739,198969,710,5,1401,1401,2577,5340,18069,98146,1401,222,2577,0,4093359,1401,3908254,98146,18069,95935,97336,1401,375,18069,118,3417,1401,5317,288,1401,74,74,152,375,74,18069,197568,148,3359,74,2577,710,1401,48,74,5154,1401,1401,79,102626,1,1401,746,1401,1401,18069,35025,1401,207336,18069,35025,1150904,1401,20616,33747,135825,710,18069,1478,148,1401,1401,18069,455,2971,2802,1401,102626,18069,95935,32228,731,37984,197568,1401,2148,74,2902,20616,5742,18069,74,88,74,2577,455,18069,8747,18069,9208,2971,74,95935,1121,7894,74,1401,102626,296,501,18755,207336,1401,207,95935,746,1401,288,74,74,2971,1401,1401,4576,15462,198969
From 1528429384 to 1528429414,117.33,8270,31,6616,31,232494,27680,27680,27680,5541,1240,2323,116497,27680,226354,4620,31,56,31,0,4387783,27680,6385,226354,1092,5,2323,2323,4135,8464,27680,76983,2323,93,4135,0,3264340,2323,4338128,76983,27680,106070,108393,2323,563,27680,103,5541,2323,7457,481,2323,31,31,277,563,87,27680,224031,62,3633,31,4135,1092,2323,72,31,8270,2323,2323,92,81944,1,2323,1240,2323,2323,27680,58075,2323,232494,27680,58075,825733,2323,33080,26837,136479,1092,27680,2365,62,2323,2323,27680,781,4707,4646,2323,81944,27680,106070,52402,633,61784,224031,2323,3230,31,3234,33080,6290,27680,31,56,31,4135,781,27680,11216,27680,14972,4707,31,106070,1803,11592,31,2323,81944,124,756,28790,232494,2323,151,106070,1240,2323,481,31,87,4707,2323,2323,6616,24810,226354
From 1528429415 to 1528429444,146.33,9172,60,7329,56,223633,26665,26665,26665,6151,1357,2330,116793,26665,216798,5272,60,76,56,0,4284089,26665,6713,216798,1242,5,2330,2330,4586,9096,26665,89883,2330,168,4586,0,3636433,2330,4225908,89883,26665,106868,109198,2330,630,26665,132,6151,2330,8219,541,2330,60,56,289,630,89,26665,214468,112,3458,60,4586,1242,2330,76,60,9172,2330,2330,94,95255,1,2330,1357,2330,2330,26665,58250,2330,223633,26665,58250,945154,2330,36688,31205,142222,1242,26665,2631,112,2330,2330,26665,852,5099,4660,2330,95255,26665,106868,57946,732,68320,214468,2330,3209,60,3386,36688,6638,26665,60,76,56,4586,852,26665,12162,26665,16556,5099,56,106868,1987,12805,60,2330,95255,228,912,27814,223633,2330,179,106868,1357,2330,541,60,89,5099,2330,2330,7329,27516,216798
From 1528429445 to 1528429474,120.0,9002,71,7254,75,220672,25572,25572,25572,6057,1308,2589,124968,25572,213253,5341,71,84,75,0,4201101,25572,6822,213253,1255,5,2589,2589,4501,9279,25572,78265,2589,225,4501,0,3745615,2589,4150691,78265,25572,114559,117148,2589,630,25572,151,6057,2589,8149,529,2589,71,75,296,630,97,25572,210664,150,3563,71,4501,1255,2589,78,71,9002,2589,2589,102,83614,1,2589,1308,2589,2589,25572,64725,2589,220672,25572,64725,986787,2589,36008,27322,146594,1255,25572,2614,150,2589,2589,25572,846,5230,5178,2589,83614,25572,114559,57204,746,67568,210664,2589,3534,71,3447,36008,6730,25572,71,84,75,4501,846,25572,12182,25572,16344,5230,75,114559,1938,12650,71,2589,83614,296,963,26860,220672,2589,180,114559,1308,2589,529,71,97,5230,2589,2589,7254,27006,213253
