Period, CPUAvg, person,concept,obs,encounter,
From 233974 To 234004,153.2,840,24,24,21,
From 234004 To 234034,114.47,784,15,17,34,
From 234074 To 234104,133.2,755,19,14,25,
From 234104 To 234134,120.2,827,28,20,26,
From 234174 To 234204,137.9,830,21,26,24,
From 234204 To 234234,118.53,780,23,18,19,
From 234274 To 234304,138.07,689,15,15,22,
From 234305 To 234335,117.33,782,23,22,14,
From 234375 To 234405,146.33,824,22,26,18,
From 234405 To 234435,120.0,825,21,27,22,
From 234475 To 234505,145.2,804,20,26,23,
From 234505 To 234535,115.23,791,26,31,23,
From 234575 To 234605,131.33,827,21,24,27,
From 234605 To 234635,120.0,788,19,25,20,
From 234676 To 234706,131.83,745,19,22,28,
From 234706 To 234736,117.4,775,18,17,24,
From 234776 To 234806,133.6,760,22,20,28,
From 234806 To 234836,121.3,823,28,18,27,
From 234876 To 234906,140.03,755,20,21,25,
From 234906 To 234936,120.5,772,18,16,24,
From 234977 To 235007,136.97,825,26,21,27,
From 235007 To 235037,116.03,772,19,22,30,
From 235077 To 235107,140.1,783,30,16,22,
From 235107 To 235137,120.8,870,19,35,27,
From 235177 To 235207,152.33,808,26,20,25,
From 235207 To 235237,118.47,746,27,18,18,
From 235278 To 235308,138.37,850,21,27,26,
From 235308 To 235338,124.9,785,25,19,22,
From 235378 To 235408,139.73,735,19,17,17,
From 235408 To 235438,126.5,742,20,24,18,
From 235478 To 235508,140.17,783,22,25,19,
From 235508 To 235538,122.17,795,27,19,22,
From 235579 To 235609,140.43,834,21,20,27,
From 235609 To 235639,129.83,810,19,21,34,
From 235679 To 235709,131.93,772,21,20,21,
From 235709 To 235739,112.07,791,18,28,29,
From 235779 To 235809,133.33,748,25,17,27,
From 235809 To 235839,118.93,787,23,20,17,
From 235880 To 235910,146.13,839,24,30,20,
From 235910 To 235940,91.2,660,12,19,22,
From -20 To 10,80.4,242,7,11,7,
From 10 To 40,51.77,3,0,0,0,
From 80 To 110,105.83,3,0,0,0,
From 110 To 140,113.97,3,0,0,0,
From 181 To 211,120.83,3,0,0,0,
From 211 To 241,138.27,3,0,0,0,
From 281 To 311,129.47,3,0,0,0,
From 311 To 341,142.47,2,1,0,0,
From 381 To 411,114.57,3,0,0,0,
From 411 To 441,140.43,2,1,0,0,
From 482 To 512,78.43,3,0,0,0,
From 512 To 542,97.8,3,0,0,0,
From 582 To 612,83.5,2,1,0,0,
From 612 To 642,85.67,3,0,0,0,
From 682 To 712,116.83,3,0,0,0,
From 712 To 742,81.63,3,0,0,0,
From 782 To 812,101.57,3,0,0,0,
From 812 To 842,101.03,3,0,0,0,
From 883 To 913,87.83,3,0,0,0,
From 913 To 943,114.13,3,0,0,0,
From 983 To 1013,92.1,3,0,0,0,
From 1013 To 1043,52.97,2,0,0,1,
From 1083 To 1113,50.53,3,0,0,0,
From 1113 To 1143,73.7,3,0,0,0,
From 1184 To 1214,73.9,2,0,1,0,
From 1214 To 1244,92.1,3,0,0,0,
From 1284 To 1314,100.73,3,0,0,0,
From 1314 To 1344,88.93,2,1,0,0,
From 1384 To 1414,92.4,3,0,0,0,
From 1414 To 1444,100.63,3,0,0,0,
From 1484 To 1514,85.97,3,0,0,0,
From 1514 To 1544,74.43,3,0,0,0,
From 1585 To 1615,106.77,3,0,0,0,
From 1615 To 1645,103.17,3,0,0,0,
From 1685 To 1715,71.13,3,0,0,0,
From 1715 To 1745,107.67,3,0,0,0,
From 1785 To 1815,83.07,2,1,0,0,
From 1815 To 1845,92.7,3,0,0,0,
From 1885 To 1915,75.27,3,0,0,0,
From 1916 To 1946,80.23,3,0,0,0,
From 1986 To 2016,89.9,1,0,2,0,
From 2016 To 2046,84.43,3,0,0,0,
From 2086 To 2116,79.3,3,0,0,0,
From 2116 To 2146,64.07,2,1,0,0,
From 2186 To 2216,100.27,3,0,0,0,
From 2216 To 2246,81.67,3,0,0,0,
From 2287 To 2317,79.07,3,0,0,0,
From 2317 To 2347,95.53,3,0,0,0,
