Period,CPUAvg,Concept:1027,BaseOpenmrsObject:82,Person:186,BaseOpenmrsObject:65,BaseOpenmrsObject:67,BaseOpenmrsObject:71
From 1532364081 to 1532364110,103.2,838,31534,10,1856276,87,138
From 1532364111 to 1532364140,92.97,476,17530,15,1083993,63,106
From 1532364141 to 1532364170,103.43,632,26414,15,1579508,87,144
From 1532364171 to 1532364200,104.17,442,24609,13,1477973,78,128
From 1532364201 to 1532364231,111.33,599,30146,15,1800623,95,156
From 1532364232 to 1532364261,104.97,869,30057,15,1791408,86,138
From 1532364262 to 1532364291,106.67,593,32927,14,1801399,101,166
From 1532364292 to 1532364321,104.67,485,27696,16,1621292,88,144
From 1532364322 to 1532364351,106.5,515,29841,19,1764821,95,156
From 1532364352 to 1532364381,105.33,1294,25754,14,1504327,87,144
From 1532364382 to 1532364412,103.07,791,19024,8,1144605,85,148
From 1532364413 to 1532364442,95.9,685,17044,10,1021964,81,142
From 1532364443 to 1532364472,103.93,839,28188,14,1678087,93,154
From 1532364473 to 1532364502,108.47,825,29931,18,1777647,88,142
From 1532364503 to 1532364532,114.27,943,35551,18,2109841,96,152
From 1532364533 to 1532364562,102.3,704,24348,13,1443345,93,158
From 1532364563 to 1532364593,106.73,683,27593,15,1611248,94,156
From 1532364594 to 1532364623,107.23,814,30130,18,1797802,95,156
From 1532364624 to 1532364653,105.3,341,26540,14,1598830,73,116
From 1532364654 to 1532364683,104.8,565,27906,11,1649345,87,142
From 1532364684 to 1532364713,120.43,822,20651,14,1228245,80,136
From 1532364714 to 1532364744,116.67,475,37211,20,2197867,92,142
From 1532364745 to 1532364774,102.53,692,22193,11,1300355,82,138
From 1532364775 to 1532364804,100.57,632,20071,12,1157725,92,160
From 1532364805 to 1532364834,108.53,1240,27821,15,1637958,102,172
From 1532364835 to 1532364864,106.63,659,31408,18,1840226,93,150
From 1532364865 to 1532364894,99.73,1058,22585,9,1344189,90,154
From 1532364895 to 1532364925,102.9,571,19043,9,1148583,72,122
From 1532364926 to 1532364955,112.9,943,22574,16,1348172,83,140
From 1532364956 to 1532364985,115.33,713,51913,26,3054707,122,186
From 1532364986 to 1532365015,113.07,396,36075,14,2175493,80,120
From 1532365016 to 1532365045,106.47,531,28167,19,1677530,88,144
From 1532365046 to 1532365075,106.57,1073,22810,15,1374231,91,156
From 1532365076 to 1532365106,101.97,1156,18697,10,1106482,82,142
From 1532365107 to 1532365136,116.27,552,43109,18,2564399,106,164
From 1532365137 to 1532365166,97.3,1190,9368,10,552046,77,142
From 1532365167 to 1532365196,93.7,666,22412,10,1326689,73,120
From 1532365197 to 1532365226,99.7,795,15232,7,919808,69,120
From 1532365227 to 1532365257,118.73,995,30223,19,1807570,92,150
From 1532365258 to 1532365287,106.7,830,29406,9,1715109,85,138
From 1532365288 to 1532365317,104.1,881,16486,16,957793,77,132
From 1532365318 to 1532365347,107.2,420,28007,15,1657759,88,144
