Period, CPUAvg, person,concept,obs,encounter,
From 124121 To 124151,103.2,457,14,13,13,
From 124191 To 124221,92.97,401,7,16,8,
From 124221 To 124251,103.43,514,14,16,11,
From 124291 To 124321,104.17,445,9,15,17,
From 124322 To 124352,111.33,506,11,20,12,
From 124392 To 124422,104.97,508,15,11,14,
From 124422 To 124452,106.67,524,11,19,21,
From 124492 To 124522,104.67,515,13,14,14,
From 124522 To 124552,106.5,524,12,19,14,
From 124592 To 124622,105.33,534,21,9,17,
From 124623 To 124653,103.07,503,16,15,20,
From 124693 To 124723,95.9,534,14,19,19,
From 124723 To 124753,103.93,523,13,11,24,
From 124793 To 124823,108.47,470,13,13,10,
From 124823 To 124853,114.27,520,17,12,12,
From 124893 To 124923,102.3,565,18,22,14,
From 124924 To 124954,106.73,554,17,12,15,
From 124994 To 125024,107.23,530,16,13,17,
From 125024 To 125054,105.3,453,9,12,14,
From 125094 To 125124,104.8,477,13,22,6,
From 125124 To 125154,120.43,480,14,15,12,
From 125195 To 125225,116.67,480,14,10,8,
From 125225 To 125255,102.53,523,13,19,16,
From 125295 To 125325,100.57,556,15,22,17,
From 125325 To 125355,108.53,539,25,15,17,
From 125395 To 125425,106.63,496,15,10,13,
From 125425 To 125455,99.73,520,20,20,16,
From 125496 To 125526,102.9,525,15,16,13,
From 125526 To 125556,112.9,536,15,12,17,
From 125596 To 125626,115.33,502,16,6,15,
From 125626 To 125656,113.07,448,10,9,7,
From 125696 To 125726,106.47,519,12,14,14,
From 125726 To 125756,106.57,555,24,18,12,
From 125797 To 125827,101.97,576,24,15,11,
From 125827 To 125857,116.27,476,12,14,12,
From 125897 To 125927,97.3,546,22,18,16,
From 125927 To 125957,93.7,448,11,13,12,
From 129997 To 130027,99.7,434,16,13,16,
From 130028 To 130058,118.73,534,18,17,12,
From 130098 To 130128,106.7,488,13,13,14,
From 130128 To 130158,104.1,497,18,12,11,
From 130198 To 130228,107.2,513,8,19,14,
From 130228 To 130258,100.4,522,19,12,14,
From 130299 To 130329,104.53,548,25,17,12,
From 130329 To 130359,111.57,505,15,7,13,
From 130399 To 130429,105.4,537,13,21,17,
From 130429 To 130459,114.63,509,14,13,12,
From 130499 To 130529,100.57,472,18,14,10,
From 130570 To 130600,105.7,522,15,13,16,
From 130600 To 130630,102.73,507,12,20,10,
From 130670 To 130700,109.73,537,12,16,22,
From 130700 To 130730,111.1,504,16,12,10,
From 130770 To 130800,99.47,438,15,10,21,
From 130801 To 130831,101.5,342,8,8,7,
From 130871 To 130901,83.97,363,8,17,8,
From 130901 To 130931,104.77,408,11,9,16,
From 130971 To 131001,100.27,405,8,14,13,
From 131002 To 131032,100.2,377,12,15,7,
From 131072 To 131102,108.1,536,19,14,18,
From 131102 To 131132,101.17,566,20,15,19,
From 131172 To 131202,98.07,512,17,12,13,
From 131202 To 131232,102.6,411,11,12,14,
From 131272 To 131302,82.43,382,13,10,9,
From 131302 To 131332,101.23,497,14,6,16,
From 131373 To 131403,109.77,531,13,13,12,
From 131403 To 131433,102.67,486,19,9,11,
From 131473 To 131503,96.13,493,9,20,16,
From 131503 To 131533,100.87,527,12,14,18,
From 131573 To 131603,94.97,527,16,15,13,
From 131603 To 131633,100.53,526,13,16,16,
From 131674 To 131704,103.3,543,14,18,15,
