Period, CPUAvg, person,encounter,obs,concept,
From 123679 To 123709,100.53,545,23,10,20,
From 123709 To 123739,101.73,554,13,18,17,
From 123779 To 123809,102.2,546,11,15,19,
From 123809 To 123839,100.1,549,16,16,11,
From 123879 To 123909,107.0,529,14,15,20,
From 123910 To 123940,100.27,600,20,14,13,
From 123980 To 124010,102.83,533,16,15,13,
From 124010 To 124040,101.1,620,18,25,19,
From 124080 To 124110,100.03,533,18,14,14,
From 124110 To 124140,102.87,515,14,14,15,
From 124180 To 124210,109.83,531,11,23,13,
From 124210 To 124240,103.4,562,15,15,13,
From 124281 To 124311,101.93,583,15,14,11,
From 124311 To 124341,107.87,526,7,16,21,
From 124381 To 124411,100.13,545,19,22,13,
From 124411 To 124441,102.77,457,16,10,8,
From 124481 To 124511,103.37,506,12,14,15,
From 124511 To 124541,107.87,541,14,16,16,
From 124582 To 124612,103.9,593,10,16,19,
From 124612 To 124642,102.3,540,18,14,15,
From 124682 To 124712,105.23,539,14,18,16,
From 124712 To 124742,100.93,575,18,20,12,
From 124782 To 124812,104.47,527,9,14,17,
From 124812 To 124842,102.1,520,17,16,15,
From 124883 To 124913,128.73,619,22,10,18,
From 124913 To 124943,100.6,520,19,16,11,
From 124983 To 125013,102.63,538,15,15,17,
From 125013 To 125043,109.1,550,12,18,13,
From 125083 To 125113,98.87,619,20,20,24,
From 125113 To 125143,107.8,534,7,12,24,
From 125184 To 125214,100.5,528,12,18,14,
From 125214 To 125244,97.97,451,14,9,11,
From 125284 To 125314,100.67,498,19,14,13,
From 125314 To 125344,104.3,539,15,9,19,
From 125384 To 125414,102.6,560,19,16,15,
From 125414 To 125444,104.77,511,13,7,16,
From 125485 To 125515,119.63,593,23,16,14,
From 125515 To 125545,101.2,539,14,17,17,
From 125585 To 125615,95.33,527,13,16,16,
From 125615 To 125645,93.9,548,17,21,15,
From 125685 To 125715,99.83,539,13,17,13,
From 125715 To 125745,98.8,527,15,13,16,
From 125786 To 125816,100.2,567,19,14,16,
From 125816 To 125846,104.8,547,17,11,18,
From 125886 To 125916,113.27,590,26,9,12,
From 125916 To 125946,98.97,525,16,11,18,
From 129986 To 130016,113.87,525,18,15,16,
From 130017 To 130047,97.0,517,17,16,16,
From 130087 To 130117,98.67,497,9,15,13,
From 130117 To 130147,103.7,485,9,19,15,
From 130187 To 130217,99.53,549,13,12,17,
From 130217 To 130247,103.4,580,9,21,18,
From 130287 To 130317,103.37,547,14,13,20,
From 130317 To 130347,100.07,545,13,14,18,
From 130388 To 130418,100.13,575,18,18,16,
From 130418 To 130448,102.33,539,16,14,15,
