Period, CPUAvg, person,concept,obs,encounter,
From 132075 To 132105,97.67,467,19,7,13,
From 132105 To 132135,125.0,617,16,21,15,
From 132175 To 132205,104.0,520,17,15,19,
From 132205 To 132235,109.43,663,18,19,9,
From 132275 To 132305,108.9,612,20,18,14,
From 132305 To 132335,101.7,577,14,20,17,
From 132375 To 132405,99.17,587,18,11,26,
From 132406 To 132436,102.8,613,19,16,16,
From 132476 To 132506,99.37,578,28,14,20,
From 132506 To 132536,96.0,659,21,17,15,
From 132576 To 132606,103.3,586,18,19,20,
From 132606 To 132636,99.7,637,10,12,21,
From 132676 To 132706,107.23,594,14,13,20,
From 132706 To 132736,103.33,680,28,20,18,
From 132777 To 132807,98.3,633,21,17,17,
From 132807 To 132837,101.37,602,16,18,19,
From 132877 To 132907,105.8,665,20,20,15,
From 132907 To 132937,109.37,670,19,21,18,
From 132977 To 133007,104.43,643,20,21,19,
From 133007 To 133037,104.43,518,17,11,17,
From 133077 To 133107,102.83,567,13,19,13,
From 133108 To 133138,102.13,629,25,23,14,
From 133178 To 133208,98.87,636,17,16,18,
From 133208 To 133238,100.3,590,16,20,13,
From 133278 To 133308,101.97,596,19,14,14,
From 133308 To 133338,105.8,640,19,22,17,
From 133378 To 133408,105.2,634,14,22,16,
From 133409 To 133439,109.4,648,18,8,23,
From 133479 To 133509,102.87,627,13,17,16,
From 133509 To 133539,104.33,609,22,24,12,
From 133579 To 133609,102.27,664,19,21,21,
From 133609 To 133639,101.93,676,24,17,24,
From 133679 To 133709,131.37,606,10,19,18,
From 133709 To 133739,96.47,596,24,13,19,
From 133780 To 133810,101.33,563,12,16,19,
From 133810 To 133840,104.63,607,27,12,16,
From 133880 To 133910,104.37,644,16,18,21,
From 133910 To 133940,102.13,630,12,16,22,
From 133980 To 134010,109.6,605,19,13,16,
From 134010 To 134040,82.2,505,15,19,11,
From 134081 To 134111,102.53,682,23,18,18,
From 134111 To 134141,100.3,628,19,23,15,
From 134181 To 134211,98.73,643,24,14,15,
From 134211 To 134241,109.6,607,11,16,18,
From 134281 To 134311,97.0,623,23,19,12,
From 134311 To 134341,105.9,678,21,19,21,
From 134382 To 134412,104.5,640,23,17,16,
From 134412 To 134442,100.33,583,14,14,16,
From 134482 To 134512,96.9,582,17,18,21,
From 134512 To 134542,102.87,542,19,9,13,
From 134582 To 134612,124.4,626,23,14,21,
From 134612 To 134642,101.03,615,17,19,17,
From 134683 To 134713,100.3,657,22,17,22,
From 134713 To 134743,91.63,574,12,8,22,
From 134783 To 134813,101.5,646,18,19,21,
From 134813 To 134843,102.87,633,13,15,21,
From 134883 To 134913,93.37,534,16,23,10,
From 134913 To 134943,102.23,597,18,17,18,
From 134983 To 135013,100.97,645,18,27,18,
From 135014 To 135044,105.2,705,23,24,20,
From 135084 To 135114,101.2,608,18,17,14,
From 135114 To 135144,108.77,604,12,18,18,
From 135184 To 135214,106.3,590,16,18,13,
From 135214 To 135244,99.4,532,20,8,19,
From 135284 To 135314,107.1,662,23,15,20,
From 135315 To 135345,98.8,674,18,20,19,
From 135385 To 135415,105.57,615,18,20,10,
From 135415 To 135445,101.7,633,25,18,17,
From 135485 To 135515,106.27,682,31,17,19,
From 135515 To 135545,103.37,604,12,22,17,
From 135585 To 135615,97.4,642,22,23,17,
From 135615 To 135645,98.7,611,17,25,21,
From 135686 To 135716,100.9,653,21,22,24,
From 135716 To 135746,103.97,652,17,9,23,
From 135786 To 135816,107.43,612,18,14,19,
From 135816 To 135846,100.0,609,15,22,12,
From 135886 To 135916,95.43,567,10,21,14,
From 135916 To 135946,103.3,494,20,14,12,
From 139986 To 140016,104.8,615,20,17,18,
From 140017 To 140047,73.33,371,16,7,10,
From 140087 To 140117,63.47,317,16,6,4,
From 140117 To 140147,81.33,424,8,12,8,
From 140187 To 140217,91.03,517,16,13,21,
From 140217 To 140247,94.23,538,18,17,15,
From 140287 To 140317,81.6,424,14,12,7,
From 140318 To 140348,101.2,643,18,28,15,
From 140388 To 140418,103.9,635,16,18,18,
From 140418 To 140448,100.7,606,19,12,20,
From 140488 To 140518,107.03,591,19,11,24,
From 140518 To 140548,104.97,691,26,22,9,
From 140588 To 140618,101.8,667,23,17,21,
From 140618 To 140648,95.0,509,14,15,13,
From 140689 To 140719,97.97,646,20,20,13,
From 140719 To 140749,101.07,544,7,18,21,
From 140789 To 140819,105.13,616,20,21,11,
From 140819 To 140849,110.83,635,16,17,18,
From 140889 To 140919,106.5,620,16,23,14,
From 140919 To 140949,100.83,648,22,14,22,
From 140990 To 141020,109.97,672,16,15,19,
From 141020 To 141050,101.87,634,20,19,23,
From 141090 To 141120,99.03,590,17,17,11,
From 141120 To 141150,101.97,603,13,12,24,
From 141190 To 141220,102.27,649,22,13,21,
From 141220 To 141250,111.07,651,14,19,18,
From 141290 To 141320,101.07,640,11,23,19,
From 141321 To 141351,107.37,634,17,19,19,
From 141391 To 141421,98.83,587,18,16,18,
From 141421 To 141451,96.67,572,13,18,26,
From 141491 To 141521,101.5,626,24,14,19,
From 141521 To 141551,108.83,622,13,16,21,
From 141591 To 141621,104.93,645,25,17,16,
From 141622 To 141652,103.37,618,13,14,17,
From 141692 To 141722,102.93,667,19,21,20,
From 141722 To 141752,100.53,644,23,11,24,
From 141792 To 141822,111.57,620,7,27,17,
From 141822 To 141852,104.4,594,18,15,17,
From 141892 To 141922,99.67,629,23,14,19,
From 141922 To 141952,102.57,668,19,17,22,
From 141993 To 142023,103.67,648,16,16,17,
From 142023 To 142053,108.4,589,13,20,11,
From 142093 To 142123,108.83,575,16,20,12,
From 142123 To 142153,101.87,526,14,11,15,
From 142193 To 142223,99.13,665,18,20,27,
From 142223 To 142253,101.7,623,20,19,22,
From 142293 To 142323,101.4,638,17,26,21,
From 142324 To 142354,104.17,627,11,14,19,
From 142394 To 142424,101.63,614,21,16,16,
From 142424 To 142454,104.5,617,15,19,16,
From 142494 To 142524,103.77,630,16,15,20,
From 142524 To 142554,103.33,613,21,17,13,
From 142594 To 142624,115.6,583,22,18,12,
From 142625 To 142655,104.87,566,17,14,17,
From 142695 To 142725,96.97,542,14,14,8,
From 142725 To 142755,103.7,567,19,19,11,
From 142795 To 142825,107.2,515,16,11,14,
From 142825 To 142855,104.53,575,24,12,12,
From 142895 To 142925,97.93,578,13,12,27,
From 142925 To 142955,106.7,611,22,16,17,
From 142996 To 143026,105.5,686,24,27,15,
From 143026 To 143056,102.9,632,20,20,14,
From 143096 To 143126,101.0,599,27,18,13,
From 143126 To 143156,94.2,577,17,18,18,
From 143196 To 143226,99.87,649,25,22,14,
From 143226 To 143256,99.3,659,23,17,18,
From 143297 To 143327,102.3,599,14,19,18,
From 143327 To 143357,115.33,575,9,19,16,
From 143397 To 143427,104.33,697,26,23,15,
From 143427 To 143457,99.17,640,22,17,17,
From 143497 To 143527,103.57,581,26,13,8,
From 143527 To 143557,112.13,588,19,18,18,
From 143597 To 143627,105.77,564,15,16,13,
From 143628 To 143658,97.5,680,14,23,20,
From 143698 To 143728,105.9,638,17,24,13,
From 143728 To 143758,106.83,596,12,15,17,
From 143798 To 143828,106.0,610,15,19,18,
From 143828 To 143858,106.63,658,20,18,13,
From 143898 To 143928,110.83,614,20,17,9,
From 143928 To 143958,105.7,630,18,14,20,
From 143999 To 144029,106.73,611,20,15,11,
From 144029 To 144059,102.43,635,25,17,17,
From 144099 To 144129,107.2,685,22,19,19,
From 144129 To 144159,104.77,618,18,20,10,
From 144199 To 144229,100.17,611,20,23,15,
From 144229 To 144259,108.1,559,23,11,18,
From 144300 To 144330,105.63,621,15,19,17,
From 144370 To 144400,104.33,600,20,20,16,
From 144400 To 144430,100.63,633,17,20,18,
From 144470 To 144500,110.07,599,12,24,17,
From 144500 To 144530,107.27,639,21,20,14,
From 144570 To 144600,102.27,636,17,18,17,
From 144600 To 144630,105.17,662,22,15,21,
From 144671 To 144701,100.47,637,23,16,21,
From 144701 To 144731,102.2,612,22,20,13,
From 144771 To 144801,104.63,665,22,23,13,
From 144801 To 144831,110.2,636,15,23,21,
From 144871 To 144901,97.0,621,12,15,23,
From 144901 To 144931,105.17,572,11,17,15,
From 144972 To 145002,108.0,581,19,20,12,
From 145002 To 145032,99.47,608,24,18,11,
From 145072 To 145102,103.3,598,13,15,17,
From 145102 To 145132,104.2,641,21,14,18,
From 145172 To 145202,99.87,616,17,17,16,
From 145202 To 145232,111.03,608,16,14,18,
From 145272 To 145302,103.1,676,22,20,12,
From 145303 To 145333,104.7,614,18,14,14,
From 145373 To 145403,104.13,651,13,22,20,
From 145403 To 145433,103.4,600,18,17,18,
From 145473 To 145503,102.97,625,17,12,22,
From 145503 To 145533,111.2,657,15,19,21,
From 145573 To 145603,100.13,654,23,16,17,
From 145603 To 145633,101.4,576,13,18,15,
From 145674 To 145704,101.8,625,21,25,18,
From 145704 To 145734,99.53,532,14,15,13,
From 145774 To 145804,103.9,612,18,15,20,
From 145804 To 145834,110.83,614,19,20,18,
From 145874 To 145904,109.53,505,18,17,7,
From 145904 To 145934,100.07,539,6,16,19,
From 149975 To 150005,74.77,398,13,17,10,
From 150005 To 150035,98.63,549,12,22,11,
From 150075 To 150105,98.67,488,12,14,10,
From 150105 To 150135,106.23,618,23,18,10,
From 150175 To 150205,103.63,662,19,21,20,
From 150205 To 150235,102.0,623,12,21,22,
From 150275 To 150305,103.1,639,17,16,21,
From 150306 To 150336,99.57,645,13,22,20,
From 150376 To 150406,109.07,620,19,21,14,
From 150406 To 150436,97.9,599,15,17,18,
From 150476 To 150506,97.47,531,14,13,16,
From 150506 To 150536,100.03,562,11,16,16,
From 150576 To 150606,107.67,624,18,17,24,
From 150607 To 150637,100.97,671,16,21,23,
From 150677 To 150707,94.9,633,31,16,22,
From 150707 To 150737,101.3,637,18,16,20,
From 150777 To 150807,96.83,604,22,23,17,
From 150807 To 150837,103.63,668,18,16,20,
From 150877 To 150907,103.97,588,16,16,23,
From 150907 To 150937,107.0,633,18,18,12,
From 150978 To 151008,105.6,653,13,17,20,
From 151008 To 151038,108.93,635,17,19,18,
From 151078 To 151108,98.83,627,15,20,8,
From 151108 To 151138,97.07,567,18,18,13,
From 151178 To 151208,103.1,559,18,18,11,
From 151208 To 151238,86.3,485,15,14,13,
From 151279 To 151309,90.57,626,16,20,15,
From 151309 To 151339,100.37,601,14,16,21,
From 151379 To 151409,104.63,609,15,12,22,
From 151409 To 151439,104.23,610,22,13,17,
From 151479 To 151509,101.13,652,16,18,15,
From 151509 To 151539,98.03,650,20,21,22,
From 151580 To 151610,98.33,621,15,26,20,
From 151610 To 151640,105.17,554,9,18,14,
From 151680 To 151710,94.3,548,16,22,15,
From 151710 To 151740,103.43,633,11,17,20,
From 151780 To 151810,101.77,677,18,18,19,
From 151810 To 151840,96.17,560,17,23,14,
From 151881 To 151911,103.33,589,15,19,14,
From 151911 To 151941,81.47,422,6,9,12,
From 151981 To 152011,101.7,566,10,21,15,
From 152011 To 152041,98.27,637,21,17,20,
From 152081 To 152111,99.57,624,23,13,23,
From 152111 To 152141,91.13,566,23,14,19,
From 152182 To 152212,99.1,608,18,17,13,
From 152212 To 152242,100.97,658,20,19,13,
From 152282 To 152312,103.63,595,19,14,22,
From 152312 To 152342,103.1,629,21,10,18,
From 152382 To 152412,95.8,579,16,19,10,
From 152413 To 152443,105.93,552,21,17,10,
From 152483 To 152513,58.0,281,5,7,13,
From 152513 To 152543,45.2,252,2,10,7,
From 152583 To 152613,60.77,313,7,9,8,
From 152614 To 152644,69.77,393,10,13,11,
From 152684 To 152714,37.0,97,6,3,1,
From 152714 To 152744,50.37,266,5,8,8,
From 152784 To 152814,60.6,327,9,10,9,
From 152814 To 152844,58.7,251,3,6,9,
From 152885 To 152915,57.5,283,4,9,9,
From 152915 To 152945,73.0,397,9,11,9,
From 152985 To 153015,102.3,628,18,17,25,
From 153015 To 153045,103.23,624,19,13,21,
From 153085 To 153115,100.27,593,15,16,20,
From 153116 To 153146,105.2,643,15,20,28,
From 153186 To 153216,96.23,542,24,11,11,
From 153217 To 153247,71.53,419,11,9,12,
From 153287 To 153317,72.0,402,14,13,15,
From 153317 To 153347,91.77,596,14,13,17,
From 153387 To 153417,93.83,574,17,15,12,
From 153417 To 153447,84.63,480,11,17,14,
From 153487 To 153517,87.17,498,7,11,17,
From 153518 To 153548,86.27,627,20,18,20,
From 153588 To 153618,75.03,428,13,10,18,
From 153618 To 153648,89.87,549,13,17,19,
From 153689 To 153719,95.9,593,15,12,22,
From 153719 To 153749,92.5,488,12,15,14,
From 153789 To 153819,74.7,445,18,12,10,
From 153819 To 153849,81.07,473,15,19,16,
From 153889 To 153919,29.33,147,6,4,6,
From 153919 To 153949,62.9,437,9,9,15,
From 153990 To 154020,87.73,636,24,14,24,
From 154020 To 154050,46.77,163,7,3,8,
From 154090 To 154120,61.03,355,7,10,7,
From 154121 To 154151,97.87,638,24,16,13,
From 154191 To 154221,94.37,573,19,14,15,
From 154221 To 154251,99.23,602,18,22,15,
From 154291 To 154321,78.5,468,11,20,12,
From 154322 To 154352,79.27,345,8,10,9,
