 CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,ConceptServiceImpl:298
104.77,501,50,50
104.9,535,44,44
104.1,381,43,43
107.4,443,33,33
101.37,602,34,34
105.93,494,48,48
103.9,427,37,37
102.8,620,55,55
102.03,559,35,35
103.57,462,43,43
103.37,602,43,43
102.23,378,39,39
102.3,562,41,41
101.8,442,56,56
102.33,515,48,48
101.83,453,46,46
100.93,394,40,40
102.13,362,47,47
101.83,438,42,42
105,377,52,52
101.97,509,48,48
101.7,592,45,45
102.03,580,48,48
101.9,594,48,48
101.13,460,46,46
101.63,542,37,37
100.63,565,41,41
101.1,503,39,39
102.3,665,43,43
100.33,526,40,40
99.5,499,45,45
102.23,439,47,47
99.13,449,47,47
102.97,566,42,42
100.03,542,42,42
101.8,402,38,38
103.2,476,47,47
102.83,488,46,46
102.07,562,48,48
101.3,583,44,44
100.57,541,36,36
99.8,522,46,46
103.13,464,46,46
99.53,443,44,44
103.1,577,37,37
103,565,44,44
99.97,405,46,46
101.9,543,37,37
102.83,575,44,44
102.13,412,43,43
103.8,488,42,42
101.97,562,32,32
100.57,554,41,41
102.07,584,46,46
100.03,554,38,38
102.7,460,40,40
101,594,34,34
103.1,504,35,35
100.7,426,35,35
103,501,43,43
102.67,413,35,35
101.9,484,47,47
100.77,488,40,40
103.83,512,40,40
100.73,539,51,51
101.07,605,39,39
100.57,581,40,40
103.7,493,34,34
103.57,553,39,39
103.87,455,40,40
99.9,389,36,36
101.37,514,46,46
101.93,514,40,40
102.73,585,48,48
101.73,468,45,45
101.93,653,44,44
102.67,407,47,47
102.73,478,33,33
100.73,474,48,48
101.87,524,46,46
101.87,478,37,37
101.8,570,52,52
101.73,477,48,48
101.5,431,45,45
102.33,500,43,43
102.67,616,43,43
102.63,680,35,35
101.63,363,49,49
101.7,336,49,49
100.3,523,34,34
100.97,498,35,35
101.87,452,51,51
102.8,452,36,36
102.67,553,51,51
101.97,532,35,35
100.37,546,39,39
101.47,447,39,39
99.7,546,33,33
101.6,660,37,37
102.13,496,38,38
102.3,360,41,41
101.3,720,36,36
100.73,543,37,37
100.4,542,53,53
100.47,623,45,45
100.53,491,33,33
100.13,567,37,37
101.97,512,40,40
103.5,556,41,41
102.27,532,37,37
103.2,436,57,57
102.37,534,36,36
101.8,402,45,45
101.77,450,51,51
102.8,423,40,40
102.57,463,31,31
102.13,550,40,40
103.57,414,39,39
102.3,440,32,32
99.83,615,40,40
102.1,424,42,42
102.67,411,34,34
102.63,438,50,50
101.57,394,33,33
101.8,500,45,45
101.17,460,43,43
100.83,608,42,42
101.63,392,45,45
100.53,605,43,43
101.53,536,39,39
102.6,589,42,42
103.03,408,44,44
113.47,545,42,42
100.33,517,39,39
85.43,386,33,33
95.17,486,37,37
100.27,447,42,42
98.07,421,38,38
102.47,456,47,47
101.83,565,35,35
102.47,477,46,46
101.9,430,45,45
99.03,456,39,39
101.2,564,46,46
99.87,726,45,45
101.03,474,43,43
103.07,584,50,50
101.73,410,39,39
99.97,478,44,44
101.17,410,37,37
101.07,404,45,45
100.9,661,43,43
100.73,531,44,44
99.33,426,47,47
100.03,616,47,47
98.8,340,45,45
102.8,432,47,47
100.8,482,42,42
99.9,500,38,38
102.07,490,46,46
100.47,510,40,40
101.07,446,52,52
101.63,395,39,39
101.03,640,41,41
101.27,461,49,49
98.63,434,50,50
99.6,574,42,42
99.6,432,36,36
100.9,629,38,38
101.43,407,41,41
101.67,532,50,50
99.73,680,51,51
98.93,476,48,48
99.7,426,39,39
102.7,458,45,45
103.33,432,33,33
100.93,434,43,43
102.13,362,46,46
101.13,586,44,44
101.53,506,40,40
