 CPUAvg, ConceptServiceImpl:972,ConceptServiceImpl:939,ConceptServiceImpl:929,ConceptServiceImpl:298,ConceptServiceImpl:249,ConceptServiceImpl:80,ConceptServiceImpl:325
105.97,0,980,539,48,0,0,0
106.37,0,708,387,50,0,0,0
110.8,0,1101,624,43,1,0,1
106.9,0,1105,616,51,0,0,0
106.4,0,1152,678,48,0,0,0
105.57,0,1124,632,47,0,0,0
105.63,0,1298,678,49,0,0,0
105.87,0,1188,648,48,8,0,8
107.47,0,724,416,55,0,0,0
107.2,0,932,524,63,0,0,0
106.33,0,1150,644,58,0,0,0
108.07,0,1382,756,58,8,0,8
104.93,0,988,566,51,0,0,0
107.93,0,1113,622,53,0,0,0
106.57,0,935,512,61,0,0,0
108.9,0,1028,566,49,0,0,0
105.77,0,1290,736,50,8,0,8
107.43,0,972,546,52,0,0,0
108.27,0,956,530,57,0,0,0
107.97,0,926,546,62,0,0,0
106.67,0,975,518,49,0,0,0
105.47,0,1090,598,58,1,0,1
108.5,0,769,423,50,0,0,0
106.53,0,1295,712,47,0,0,0
107.23,0,1100,611,42,0,0,0
107.1,0,1043,585,52,0,0,0
105.63,0,1231,673,46,1,0,1
106.17,0,1155,632,48,0,0,0
105,0,1200,648,52,0,0,0
107.2,0,965,508,39,0,0,0
106.2,0,1097,628,41,0,0,0
107.67,0,1084,622,62,1,0,1
106.17,0,1072,636,53,0,0,0
107.57,0,804,466,43,0,0,0
106.57,0,1022,550,48,0,0,0
108.67,0,898,523,62,1,0,1
106.77,0,982,507,43,0,0,0
108.2,0,1088,598,47,0,0,0
106.2,0,1184,668,47,0,0,0
102.97,0,1042,536,52,0,0,0
106.87,0,959,538,61,1,0,1
108.53,0,1049,574,42,0,0,0
107.37,0,1208,700,55,0,0,0
105.67,0,1129,659,47,0,0,0
108.43,0,1085,593,55,0,0,0
105.2,0,1080,594,52,1,0,1
106.87,0,760,408,47,0,0,0
107.9,0,903,524,52,0,0,0
107.6,0,996,564,55,0,0,0
107.43,0,1220,688,47,1,0,1
106.63,0,975,560,53,8,0,8
105.13,0,1132,622,52,0,0,0
106,0,950,550,62,0,0,0
106.47,0,1248,690,52,0,0,0
108.4,0,946,560,54,1,0,1
107.73,0,947,537,45,8,0,8
107.3,0,839,472,55,0,0,0
108.93,0,1252,695,46,0,0,0
105.2,0,862,480,52,0,0,0
108.47,0,1101,609,52,1,0,1
107.13,0,831,463,58,1,0,1
105.8,0,1224,727,46,0,0,0
115.3,0,1203,724,42,0,0,0
104.8,0,839,471,44,0,0,0
105.3,0,1305,701,50,0,0,0
103.47,0,984,543,41,8,0,8
105.63,0,1180,699,52,0,0,0
106.97,0,1357,773,44,0,0,0
106.23,0,836,507,53,0,0,0
105.17,0,900,483,52,0,0,0
107.27,0,1204,700,64,8,0,8
106.17,0,1112,609,45,0,0,0
104.6,0,1396,805,42,0,0,0
106.53,0,1324,758,47,0,0,0
106.3,0,1014,578,58,0,0,0
107.1,0,800,444,46,8,0,8
105.63,0,1212,732,44,0,0,0
106.47,0,1065,597,51,0,0,0
103.2,0,1289,709,45,0,0,0
105.03,0,902,462,54,0,0,0
105,0,884,478,57,8,0,8
107.9,0,1008,538,55,0,0,0
106.27,0,908,476,41,0,0,0
103.83,0,1011,574,55,0,0,0
107.27,0,1095,606,49,0,0,0
105.07,0,930,516,55,1,0,1
105.7,0,1059,610,54,0,0,0
106.53,0,1253,696,42,0,0,0
106.6,0,963,558,56,0,0,0
106.33,0,969,532,51,1,0,1
106.43,0,1458,828,49,8,0,8
105.03,0,1262,688,49,0,0,0
103.5,0,988,546,46,0,0,0
106.57,0,1126,662,50,0,0,0
103.87,0,1084,594,53,1,0,1
106.93,0,1104,632,56,0,0,0
