Period, CPUAvg, person,concept,obs,encounter,
From 153706 To 153736,133.43,2755,85,85,82,
From 153776 To 153806,134.9,2636,60,69,72,
From 153806 To 153836,131.27,2657,58,81,86,
From 153876 To 153906,139.03,2689,75,69,74,
From 153906 To 153936,134.13,2708,79,72,62,
From 153976 To 154006,136.63,2714,70,74,99,
From 154006 To 154036,134.63,2691,77,68,79,
From 154077 To 154107,132.6,2794,78,91,80,
From 154107 To 154137,136.53,2656,85,74,72,
From 154177 To 154207,134.47,2737,70,86,87,
From 154207 To 154237,139.8,2701,72,74,85,
From 154277 To 154307,133.7,2626,72,78,72,
From 154307 To 154337,132.57,2714,71,82,89,
From 154377 To 154407,138.53,2695,72,73,81,
From 154407 To 154437,130.8,2605,66,84,77,
From 154477 To 154507,138.87,2654,75,75,73,
From 154507 To 154537,133.57,2714,72,88,66,
From 154578 To 154608,133.6,2716,72,87,73,
From 154608 To 154638,138.6,2639,85,79,71,
From 154678 To 154708,130.4,2680,65,75,81,
From 154708 To 154738,136.67,2673,76,87,86,
From 154778 To 154808,132.97,2632,72,76,81,
From 154808 To 154838,130.83,2694,58,84,89,
From 154878 To 154908,138.2,2641,69,55,88,
From 154908 To 154938,133.17,2630,70,91,70,
From 154978 To 155008,139.53,2639,64,78,76,
From 155009 To 155039,132.2,2749,65,89,71,
From 155079 To 155109,132.03,2621,74,68,72,
From 155109 To 155139,139.07,2685,93,77,78,
From 155179 To 155209,131.7,2651,62,93,71,
From 155209 To 155239,134.1,2577,68,88,66,
From 155279 To 155309,128.1,2612,69,71,81,
From 155309 To 155339,127.9,2627,70,70,75,
From 155379 To 155409,137.27,2630,69,74,60,
From 155409 To 155439,130.87,2640,62,75,82,
From 155479 To 155509,130.63,2620,72,62,83,
From 155510 To 155540,137.37,2734,82,65,85,
From 155580 To 155610,131.77,2619,93,70,70,
From 155610 To 155640,134.37,2617,80,76,79,
From 155680 To 155710,130.57,2657,80,69,82,
From 155710 To 155740,136.87,2646,66,83,83,
From 155780 To 155810,128.43,2553,65,80,70,
From 155810 To 155840,132.27,2620,77,71,78,
From 155880 To 155910,135.93,2638,75,73,81,
From 155910 To 155940,131.27,2581,67,70,71,
From 159981 To 160011,140.8,2689,82,87,67,
From 160011 To 160041,130.6,2625,86,77,86,
From 160081 To 160111,137.6,2591,82,66,71,
From 160111 To 160141,129.1,2591,74,67,73,
From 160181 To 160211,131.6,2630,93,78,66,
From 160211 To 160241,136.63,2612,77,65,82,
From 160281 To 160311,129.73,2565,74,64,79,
From 160311 To 160341,135.87,2600,82,73,71,
From 160381 To 160411,126.47,2573,64,84,74,
From 160411 To 160441,129.97,2524,64,82,55,
From 160482 To 160512,135.1,2698,71,75,83,
From 160512 To 160542,130.9,2641,87,81,80,
From 160582 To 160612,136.27,2597,83,75,82,
From 160612 To 160642,129.27,2602,67,87,75,
From 160682 To 160712,133.8,2539,75,79,68,
From 160712 To 160742,129.6,2563,72,63,79,
From 160782 To 160812,131.53,2580,68,76,68,
From 160812 To 160842,136.97,2576,77,62,74,
From 160882 To 160912,129.47,2602,61,82,77,
From 160913 To 160943,133.17,2635,63,97,76,
From 160983 To 161013,129.13,2549,68,73,61,
From 161013 To 161043,131.33,2589,71,74,76,
From 161083 To 161113,134.17,2565,76,78,85,
From 161113 To 161143,130.9,2585,63,80,84,
From 161183 To 161213,129.37,2584,50,65,83,
From 161213 To 161243,135.9,2573,59,81,76,
From 161283 To 161313,126.27,2511,55,69,93,
From 161313 To 161343,136.23,2537,66,65,70,
From 161383 To 161413,131.4,2578,79,76,68,
